name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection
"Cleary, Rebecca"	personal					UNCW	CONTENTdm	Art in Randall Library
"Coleman, James"	personal					UNCW	CONTENTdm	Art in Randall Library
"Coleman, James"	personal					UNCW	CONTENTdm	Art in Randall Library
"Connelly, Carolyn Greer"	personal					UNCW	CONTENTdm	Art in Randall Library
"Conner, Ann"	personal					UNCW	CONTENTdm	Art in Randall Library
"Conner, Ann"	personal					UNCW	CONTENTdm	Art in Randall Library
"Conner, Ann"	personal					UNCW	CONTENTdm	Art in Randall Library
"Conner, Ann"	personal					UNCW	CONTENTdm	Art in Randall Library
"Cooper, Gail C."	personal					UNCW	CONTENTdm	Art in Randall Library
"Cooper, M.J."	personal					UNCW	CONTENTdm	Art in Randall Library
"Cornelius, Wanda"	personal					UNCW	CONTENTdm	Art in Randall Library
"Crawhall, Joseph"	personal					UNCW	CONTENTdm	Art in Randall Library
"Croft-Jones, Joan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Crowell, Lawrence"	personal					UNCW	CONTENTdm	Art in Randall Library
"Crumley, Karan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Cumber, Paul"	personal					UNCW	CONTENTdm	Art in Randall Library
"Cumming, Andrea"	personal					UNCW	CONTENTdm	Art in Randall Library
"Cunningham, Anne"	personal					UNCW	CONTENTdm	Art in Randall Library
"Cunningham, M.J."	personal					UNCW	CONTENTdm	Art in Randall Library
"Cunningham, MJ"	personal					UNCW	CONTENTdm	Art in Randall Library
Cynthia Bringle	personal					UNCW	CONTENTdm	Art in Randall Library
"Dade, Susan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Darrow, Elizabeth"	personal					UNCW	CONTENTdm	Art in Randall Library
"Darrow, Elizabeth"	personal					UNCW	CONTENTdm	Art in Randall Library
"Davies, Jeanne"	personal					UNCW	CONTENTdm	Art in Randall Library
"Davies, Jeanne D"	personal					UNCW	CONTENTdm	Art in Randall Library
"Davies, Jeanne D."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davies, Jeanne D."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davies, V."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Harry"	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Harry"	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Harry L."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Harry L."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Harry L."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Harry L."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Harry L."	personal					UNCW	CONTENTdm	Art in Randall Library
"Davis, Tollie"	personal					UNCW	CONTENTdm	Art in Randall Library
"De La Vega, Antonio"	personal					UNCW	CONTENTdm	Art in Randall Library
"Dekker, Francisca"	personal					UNCW	CONTENTdm	Art in Randall Library
"Deneer, Lionel Barrymore and"	personal					UNCW	CONTENTdm	Art in Randall Library
Diane Romanello	personal					UNCW	CONTENTdm	Art in Randall Library
"Dixon, Artie Markatos"	personal					UNCW	CONTENTdm	Art in Randall Library
"Dols, Matthew"	personal					UNCW	CONTENTdm	Art in Randall Library
"Dols, Timothy"	personal					UNCW	CONTENTdm	Art in Randall Library
Don Resnick Paintings	personal					UNCW	CONTENTdm	Art in Randall Library
Donald Furst	personal					UNCW	CONTENTdm	Art in Randall Library
"Donnelly, Hester"	personal					UNCW	CONTENTdm	Art in Randall Library
"Donnelly, Hester"	personal					UNCW	CONTENTdm	Art in Randall Library
"Dotson, Tracy"	personal					UNCW	CONTENTdm	Art in Randall Library
Duane	personal					UNCW	CONTENTdm	Art in Randall Library
"Dunn, Sullivan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Dunn, Sullivan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Echo, John"	personal					UNCW	CONTENTdm	Art in Randall Library
"Edstrom, Carla R."	personal					UNCW	CONTENTdm	Art in Randall Library
"Edwards, Harvey"	personal					UNCW	CONTENTdm	Art in Randall Library
"Elias, Theresa"	personal					UNCW	CONTENTdm	Art in Randall Library
Eliot	personal					UNCW	CONTENTdm	Art in Randall Library
Ellis Wilson	personal					UNCW	CONTENTdm	Art in Randall Library
"Engdahl, Dick"	personal					UNCW	CONTENTdm	Art in Randall Library
"Ernest, Sue"	personal					UNCW	CONTENTdm	Art in Randall Library
"Ernest, Sue"	personal					UNCW	CONTENTdm	Art in Randall Library
Eseir	personal					UNCW	CONTENTdm	Art in Randall Library
"Evans, Brian"	personal					UNCW	CONTENTdm	Art in Randall Library
"Evans, Minnie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Evans, Ricky"	personal					UNCW	CONTENTdm	Art in Randall Library
"Everds, John"	personal					UNCW	CONTENTdm	Art in Randall Library
"Ewen, Marianne"	personal					UNCW	CONTENTdm	Art in Randall Library
Executive Greetings	personal					UNCW	CONTENTdm	Art in Randall Library
"Eyster, Gary"	personal					UNCW	CONTENTdm	Art in Randall Library
"Eyster, Gary"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fairbank, Katrina"	personal					UNCW	CONTENTdm	Art in Randall Library
"Faris, Gladys"	personal					UNCW	CONTENTdm	Art in Randall Library
"Faris, Gladys"	personal					UNCW	CONTENTdm	Art in Randall Library
"Faris, Gladys"	personal					UNCW	CONTENTdm	Art in Randall Library
"Faris, Gladys"	personal					UNCW	CONTENTdm	Art in Randall Library
"Faris, Gladys"	personal					UNCW	CONTENTdm	Art in Randall Library
"Faris, William"	personal					UNCW	CONTENTdm	Art in Randall Library
"Farley, Christine Bosna"	personal					UNCW	CONTENTdm	Art in Randall Library
"Faudree, Jane"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fenstermacher, Alouise"	personal					UNCW	CONTENTdm	Art in Randall Library
"Ferreri, Justine"	personal					UNCW	CONTENTdm	Art in Randall Library
"Ferreri, Justine"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fickett, Maggie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fickett, Maggie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fields, William"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fields, William"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fink, Herbert"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fischer, Leah"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fischer, Leah"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fischer, Marianne"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fisher, Cynthie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fisher, Gaye Sanders"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fleming, Thomas"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fleri, Barbara"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fonvielle, Erica"	personal					UNCW	CONTENTdm	Art in Randall Library
"Formy-Duval, Maryan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fox, Jerry"	personal					UNCW	CONTENTdm	Art in Randall Library
"Frick, A. Joseph"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fries, J"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fries, Joseph"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fry, Joan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Fry, Joan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Furst, Don"	personal					UNCW	CONTENTdm	Art in Randall Library
"Furst, Don"	personal					UNCW	CONTENTdm	Art in Randall Library
"Furst, Don"	personal					UNCW	CONTENTdm	Art in Randall Library
"Furst, Don"	personal					UNCW	CONTENTdm	Art in Randall Library
"Furst, Donald"	personal					UNCW	CONTENTdm	Art in Randall Library
"Furst, Donald"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gallant, Delores"	personal					UNCW	CONTENTdm	Art in Randall Library
"Ganucheau, Rose"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gaylor, Fred Tyson"	personal					UNCW	CONTENTdm	Art in Randall Library
"Geen, Jeff"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gendron, Susan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Genovese, Patsy"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gillespie, Vic"	personal					UNCW	CONTENTdm	Art in Randall Library
"Giordano, Anthony (Tony)"	personal					UNCW	CONTENTdm	Art in Randall Library
"Giordano, Louise"	personal					UNCW	CONTENTdm	Art in Randall Library
"Glasner, Larry"	personal					UNCW	CONTENTdm	Art in Randall Library
Gloria Erikson	personal					UNCW	CONTENTdm	Art in Randall Library
"Golden, John W."	personal					UNCW	CONTENTdm	Art in Randall Library
"Golden, John W."	personal					UNCW	CONTENTdm	Art in Randall Library
"Golden, Mary Ellen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Golden, Mary Ellen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Golden, Mary Ellen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Golden, Mary Ellen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Golden, Mary Ellen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gordon, Eileen"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gorham III, A. Dumay"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gorham III, A. Dumay"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gorsline, Doug"	personal					UNCW	CONTENTdm	Art in Randall Library
"Goudarzi, George"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gowdy, Jeanne"	personal					UNCW	CONTENTdm	Art in Randall Library
"Grazetti, Joyce"	personal					UNCW	CONTENTdm	Art in Randall Library
"Grazetti, Joyce"	personal					UNCW	CONTENTdm	Art in Randall Library
"Green, Julie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Greenough, Pam"	personal					UNCW	CONTENTdm	Art in Randall Library
"Greer, Jane"	personal					UNCW	CONTENTdm	Art in Randall Library
"Gregson, Matt"	personal					UNCW	CONTENTdm	Art in Randall Library
"Griffith, Ed"	personal					UNCW	CONTENTdm	Art in Randall Library
"Griffiths, Marie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Haas, Georgeann"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hailee, William Todd"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hall, Robert"	personal					UNCW	CONTENTdm	Art in Randall Library
"Halsey, William"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hancock, Joanna"	personal					UNCW	CONTENTdm	Art in Randall Library
"Handlan, Nancy"	personal					UNCW	CONTENTdm	Art in Randall Library
"Harris, Brownie"	personal					UNCW	CONTENTdm	Art in Randall Library
"Harris, J."	personal					UNCW	CONTENTdm	Art in Randall Library
"Harry, Beth Ellis"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hart, Harry"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hart, Patricia"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hause, Diane"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Ivey"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Ivey"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Ivey"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Ivey"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Ivey"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Ivey"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Sherman"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hayes, Sherman"	personal					UNCW	CONTENTdm	Art in Randall Library
"He, Jiang"	personal					UNCW	CONTENTdm	Art in Randall Library
"Heckethorn, Betsy"	personal					UNCW	CONTENTdm	Art in Randall Library
"Heimerdinger, Debra"	personal					UNCW	CONTENTdm	Art in Randall Library
"Heiser, Dick"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hemenway, Susan"	personal					UNCW	CONTENTdm	Art in Randall Library
"Henderson, Gail"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hensley, Bea and Mike"	personal					UNCW	CONTENTdm	Art in Randall Library
"Herman, Arthur"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hester, Nancy"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hewett, Gerry"	personal					UNCW	CONTENTdm	Art in Randall Library
"Higgins, Miles C."	personal					UNCW	CONTENTdm	Art in Randall Library
"Hill, Paul"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hodges, Ruth"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hodges, Ruth"	personal					UNCW	CONTENTdm	Art in Randall Library
"Hodges, Ruth"	personal					UNCW	CONTENTdm	Art in Randall Library
