name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Adams, Franklin LeVerne, Jr."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Harold Leslie, 1953-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Henry, 1908-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Hoyle Brannock."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, J. Allen."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, J. Edison (Joseph Edison), 1903-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Janie."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, John Q."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Joseph Allen, Jr."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Junius Greene."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Kenneth, 1967-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Lacy E."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Lottie Jeanette."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Master."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, P. B."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Preston, 1930-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Robert Roy."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, S. Jason."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, Stephen, 1844-1913."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adams, William F."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adamson, Mary Price, 1909-1980?"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adcock, A. Mark."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adden, Robert Spencer, Jr."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Addlestone, Hyman Hertzel."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Addo, Linda Powell."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adekeye, J.A."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adekola, F. A."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adler, Leopold, 1923-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Adshead, Gwen."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Adventure Graphics	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
Aegir (Battleship)	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
Aero-Graphic Corporation.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
AFL-CIO.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
AFL-CIO. Committee on Political Education.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
AFL-CIO. Industrial Union Dept.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
Africa (Battleship)	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
African Methodist Episcopal Zion Church.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
AFSCME.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
Agamemnon (Ship)	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ager, Annie."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Agnew, Nancy, 1957-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Agnew, Spiro T., 1918-1996."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aguilar, Nelson."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ahearn, Lorraine."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ahles, Harry E."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ahlstrom, Elbert H."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ahrenholz, Dean W."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aibl, Joseph."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aïdé, Hamilton, 1826-1906."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aiken, Gene."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aiken, George L., 1830-1876."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ailo, Mario."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Ailon, Berta Raymundo."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Air Survey Corporation.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aira, César, 1949-"	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Akbar, Emperor of Hindustan, 1542-1605."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Akers, Joshua."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Akers, Susan Grey, 1889-1984."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Akhtar, Ayad."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Al-Aish, Matti."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"AL, pseud."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Alabama Library Association.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alala, Edward, Sr."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alanís, Antonio de Jesús."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alanis, Antonio."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alarcón Mariño, Julio."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alarcón, Laida."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alary, Giulio."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Albee, Edward, 1928-2016."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Albemarle and Chesapeake Canal Company.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
Albemarle Swamp Land Company.	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Albert I, King of the Belgians, 1875-1934."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Albert, Charles Louis Napoléon d’, 1809-1886."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
Albert.						UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alberte, R. S."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alberti, H."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alberti, Herman."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Albertson, Arliss Milton."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Albom, Mitch, 1958-."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Albrecht, Duke of Württemberg, 1865-1939."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Albright, Robert Mayne."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alderman Residence Hall (Chapel Hill, N.C.)"	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alderman, Edwin Anderson, 1861-1931."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aldobrandino, da Siena, d. 1287."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aldridge, C."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aldridge, H."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aldridge, John E., Jr."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aldrin, Buzz."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aleksandar I, King of Yugoslavia, 1888-1934."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Aleksandr Mikhaĭlovich, Grand Duke of Russia, 1866-1933."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alekseĭ Nikolaevich, Czarevitch, son of Nicholas II, Emperor of Russia, 1904-1918."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alex, pseud."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander Ralston, Elreta N. Melton."						UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander Residence Hall (Chapel Hill, N.C.)"	corporate					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, A. L."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Agnes."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Dorothy F."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
"Alexander, Eben, 1851-1910."	personal					UNCCH	CONTENTdm	Shared Name Vocabulary 
