name	name_type	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Coberly, Cynthia D."	personal				NCSU	Dspace	1840.20/8
"Cochran, David S."	personal				NCSU	Dspace	1840.20/8
"Cochran, Jeffery K."	personal				NCSU	Dspace	1840.20/8
"Cochran, Jeffrey K."	personal				NCSU	Dspace	1840.20/8
"Cochran, W. G."	personal				NCSU	Dspace	1840.20/8
"Cochran, W. Joseph"	personal				NCSU	Dspace	1840.20/8
"Cockburn, B."	personal				NCSU	Dspace	1840.20/8
"Cockerham, C. Clark"	personal				NCSU	Dspace	1840.20/8
"Cockrell, Jason"	personal				NCSU	Dspace	1840.20/8
"Cody,  Natalie G."	personal				NCSU	Dspace	1840.20/8
"Coe, Mary Jordan"	personal				NCSU	Dspace	1840.20/8
"Coffey, Kristy Ann"	personal				NCSU	Dspace	1840.20/8
"Coffey, Todd Sterling"	personal				NCSU	Dspace	1840.20/8
"Coffman, P. E., Jr."	personal				NCSU	Dspace	1840.20/8
"Cogliano, Vincent James"	personal				NCSU	Dspace	1840.20/8
"Cognetta, Armand B."	personal				NCSU	Dspace	1840.20/8
"Cohen, Dan"	personal				NCSU	Dspace	1840.20/8
"Cohen, David M."	personal				NCSU	Dspace	1840.20/8
"Cohen, Edward"	personal				NCSU	Dspace	1840.20/8
"Cohen, Jay W."	personal				NCSU	Dspace	1840.20/8
"Cohen, K. J."	personal				NCSU	Dspace	1840.20/8
"Cohen, Kalman J."	personal				NCSU	Dspace	1840.20/8
"Cohen, Leo J."	personal				NCSU	Dspace	1840.20/8
"Cohen, Marvin S."	personal				NCSU	Dspace	1840.20/8
"Cohen, P. H."	personal				NCSU	Dspace	1840.20/8
"Cohen, Phil"	personal				NCSU	Dspace	1840.20/8
"Cohen, Philip R."	personal				NCSU	Dspace	1840.20/8
"Cohen, S. B."	personal				NCSU	Dspace	1840.20/8
"Cohn, S.H."	personal				NCSU	Dspace	1840.20/8
"Cohon, Jared L."	personal				NCSU	Dspace	1840.20/8
"Colaiuda, A."	personal				NCSU	Dspace	1840.20/8
"Colas, A."	personal				NCSU	Dspace	1840.20/8
"Cole, Cammey Elizabeth"	personal				NCSU	Dspace	1840.20/8
"Cole, D. G."	personal				NCSU	Dspace	1840.20/8
"Cole, Dana"	personal				NCSU	Dspace	1840.20/8
"Cole, J.I."	personal				NCSU	Dspace	1840.20/8
"Cole, James L."	personal				NCSU	Dspace	1840.20/8
"Cole, James Washington Leverett"	personal				NCSU	Dspace	1840.20/8
"Coleman, Joseph W."	personal				NCSU	Dspace	1840.20/8
"Coles, Stuart G."	personal				NCSU	Dspace	1840.20/8
"Colesar, Peter"	personal				NCSU	Dspace	1840.20/8
"Collie, B."	personal				NCSU	Dspace	1840.20/8
"Collins, Bela"	personal				NCSU	Dspace	1840.20/8
"Collins, C. C."	personal				NCSU	Dspace	1840.20/8
"Collins, C. W."	personal				NCSU	Dspace	1840.20/8
"Collins, Elizabeth N."	personal				NCSU	Dspace	1840.20/8
"Collins, M.W."	personal				NCSU	Dspace	1840.20/8
"Collins, N. E."	personal				NCSU	Dspace	1840.20/8
"Collins, Norene"	personal				NCSU	Dspace	1840.20/8
"Collins, W. K."	personal				NCSU	Dspace	1840.20/8
"Colvin, Theron"	personal				NCSU	Dspace	1840.20/8
"Coman, O."	personal				NCSU	Dspace	1840.20/8
"Combescure, A."	personal				NCSU	Dspace	1840.20/8
"Combescure, Didier"	personal				NCSU	Dspace	1840.20/8
"Combettes, Patrick L."	personal				NCSU	Dspace	1840.20/8
"Combs, Ray"	personal				NCSU	Dspace	1840.20/8
"Comer, Edward R."	personal				NCSU	Dspace	1840.20/8
"Comescure, A."	personal				NCSU	Dspace	1840.20/8
"Comfort, John"	personal				NCSU	Dspace	1840.20/8
"Comfort, John C."	personal				NCSU	Dspace	1840.20/8
"Comfort, John Craig"	personal				NCSU	Dspace	1840.20/8
"Compagner, Aaldert"	personal				NCSU	Dspace	1840.20/8
"Comstock, Ralph E."	personal				NCSU	Dspace	1840.20/8
"Concannon, Kieran"	personal				NCSU	Dspace	1840.20/8
"Concepcion, Arturo I."	personal				NCSU	Dspace	1840.20/8
"Condrac, R."	personal				NCSU	Dspace	1840.20/8
"Cong, J."	personal				NCSU	Dspace	1840.20/8
"Conner, M."	personal				NCSU	Dspace	1840.20/8
"Conner, Stephen L."	personal				NCSU	Dspace	1840.20/8
"Connolly, Thomas W."	personal				NCSU	Dspace	1840.20/8
"Connor, Michael J."	personal				NCSU	Dspace	1840.20/8
"Connor, William Stokes, Jr."	personal				NCSU	Dspace	1840.20/8
"Connors,   David"	personal				NCSU	Dspace	1840.20/8
"Conrad, Bjorn"	personal				NCSU	Dspace	1840.20/8
"Conrad, Robert"	personal				NCSU	Dspace	1840.20/8
"Conrad, Sherri A."	personal				NCSU	Dspace	1840.20/8
"Conroy, Michael"	personal				NCSU	Dspace	1840.20/8
"Contesti, M.A."	personal				NCSU	Dspace	1840.20/8
"Contri, P."	personal				NCSU	Dspace	1840.20/8
"Contri, Paolo"	personal				NCSU	Dspace	1840.20/8
"Conway, Richard"	personal				NCSU	Dspace	1840.20/8
"Cook, Daniel"	personal				NCSU	Dspace	1840.20/8
"Cook, J. R."	personal				NCSU	Dspace	1840.20/8
"Cook, Lori S."	personal				NCSU	Dspace	1840.20/8
"Cook, R. Dennis"	personal				NCSU	Dspace	1840.20/8
"Cook, Steven J."	personal				NCSU	Dspace	1840.20/8
"Cook, Thomas"	personal				NCSU	Dspace	1840.20/8
"Cook, Thomas M."	personal				NCSU	Dspace	1840.20/8
"Cook, Thomas Murray"	personal				NCSU	Dspace	1840.20/8
"Cook, Todd"	personal				NCSU	Dspace	1840.20/8
"Cooley, Belva J."	personal				NCSU	Dspace	1840.20/8
"Cooley, Daniel"	personal				NCSU	Dspace	1840.20/8
"Cooley, P. C."	personal				NCSU	Dspace	1840.20/8
"Cooley, Philip C."	personal				NCSU	Dspace	1840.20/8
"Cooper, Arthur W."	personal				NCSU	Dspace	1840.20/8
"Cooper, C. Anthony"	personal				NCSU	Dspace	1840.20/8
"Cooper, Dale E."	personal				NCSU	Dspace	1840.20/8
"Cooper, Edward H."	personal				NCSU	Dspace	1840.20/8
"Cooper, Ellen M."	personal				NCSU	Dspace	1840.20/8
"Cooper, Kenneth H."	personal				NCSU	Dspace	1840.20/8
"Cooper, Robert B."	personal				NCSU	Dspace	1840.20/8
"Cooper, Sherri R."	personal				NCSU	Dspace	1840.20/8
"Coorpender, S. J."	personal				NCSU	Dspace	1840.20/8
"Cope, W. A."	personal				NCSU	Dspace	1840.20/8
"Cope, W. Gregory"	personal				NCSU	Dspace	1840.20/8
"Copeland, B. J."	personal				NCSU	Dspace	1840.20/8
"Copley, T. L."	personal				NCSU	Dspace	1840.20/8
"Coppieters, Dirk"	personal				NCSU	Dspace	1840.20/8
"Coraor, Lee"	personal				NCSU	Dspace	1840.20/8
"Corbett, Charles"	personal				NCSU	Dspace	1840.20/8
"Corbett, D. Reide"	personal				NCSU	Dspace	1840.20/8
"Corbin, Tim"	personal				NCSU	Dspace	1840.20/8
"Corcoran, Thomas J."	personal				NCSU	Dspace	1840.20/8
"Cordell, Harold K."	personal				NCSU	Dspace	1840.20/8
"Corder, Steve"	personal				NCSU	Dspace	1840.20/8
"Cordon, Geoffrey"	personal				NCSU	Dspace	1840.20/8
"Coret, Michel"	personal				NCSU	Dspace	1840.20/8
"Cork, Larry D."	personal				NCSU	Dspace	1840.20/8
"Corliss, James Roger"	personal				NCSU	Dspace	1840.20/8
"Corman, J."	personal				NCSU	Dspace	1840.20/8
"Cormier, Denis"	personal				NCSU	Dspace	1840.20/8
"Cornelio, A."	personal				NCSU	Dspace	1840.20/8
"Cornelius, Wayne L."	personal				NCSU	Dspace	1840.20/8
"Cornett, Kay K."	personal				NCSU	Dspace	1840.20/8
"Cornwell, Donna L."	personal				NCSU	Dspace	1840.20/8
"Cornwell, Travis"	personal				NCSU	Dspace	1840.20/8
"Coronell, Orlando"	personal				NCSU	Dspace	1840.20/8
"Corral, Ada R."	personal				NCSU	Dspace	1840.20/8
"Correia, J."	personal				NCSU	Dspace	1840.20/8
"Corsi, F."	personal				NCSU	Dspace	1840.20/8
"Corsi, Richard"	personal				NCSU	Dspace	1840.20/8
"Corson, M. Scott"	personal				NCSU	Dspace	1840.20/8
"Corsten, L. C. A."	personal				NCSU	Dspace	1840.20/8
"Cort, Stanton G."	personal				NCSU	Dspace	1840.20/8
"Corwin, W.R."	personal				NCSU	Dspace	1840.20/8
"Cory, Carol L."	personal				NCSU	Dspace	1840.20/8
"Corynen, Guy C."	personal				NCSU	Dspace	1840.20/8
"Cosic, Cindy"	personal				NCSU	Dspace	1840.20/8
"Cosmatos, D."	personal				NCSU	Dspace	1840.20/8
"Costa Filho, P.A."	personal				NCSU	Dspace	1840.20/8
"Costa Mattos, H.S."	personal				NCSU	Dspace	1840.20/8
"Costa Nunes, M.E."	personal				NCSU	Dspace	1840.20/8
"Costa, E.M."	personal				NCSU	Dspace	1840.20/8
"Costantino, Carl J."	personal				NCSU	Dspace	1840.20/8
"Costaz, J.-L."	personal				NCSU	Dspace	1840.20/8
"Costello,   J.F."	personal				NCSU	Dspace	1840.20/8
"Costello, James F."	personal				NCSU	Dspace	1840.20/8
"Cota, B.A."	personal				NCSU	Dspace	1840.20/8
"Cota, Bruce A."	personal				NCSU	Dspace	1840.20/8
"Cote, R."	personal				NCSU	Dspace	1840.20/8
"Cothren, Paula"	personal				NCSU	Dspace	1840.20/8
"Coudert, Laurent"	personal				NCSU	Dspace	1840.20/8
"Coughlan, Kieran L."	personal				NCSU	Dspace	1840.20/8
"Coughlin, M. T."	personal				NCSU	Dspace	1840.20/8
"Court, M. C."	personal				NCSU	Dspace	1840.20/8
"Courtney, Harley M."	personal				NCSU	Dspace	1840.20/8
"Cousin, M."	personal				NCSU	Dspace	1840.20/8
"Coustillas, F."	personal				NCSU	Dspace	1840.20/8
"Couture, Raymond"	personal				NCSU	Dspace	1840.20/8
"Couturier, Raphael"	personal				NCSU	Dspace	1840.20/8
"Covil, Donald M."	personal				NCSU	Dspace	1840.20/8
"Covington, Alan"	personal				NCSU	Dspace	1840.20/8
"Cowley, Earl"	personal				NCSU	Dspace	1840.20/8
"Cox, D. R."	personal				NCSU	Dspace	1840.20/8
"Cox, F. R."	personal				NCSU	Dspace	1840.20/8
"Cox, Gertrude M."	personal				NCSU	Dspace	1840.20/8
"Cox, Springer"	personal				NCSU	Dspace	1840.20/8
"Cox, Springer W."	personal				NCSU	Dspace	1840.20/8
"Crabbs, David E."	personal				NCSU	Dspace	1840.20/8
"Crabtree, Charles L."	personal				NCSU	Dspace	1840.20/8
"Craig, Nancy J."	personal				NCSU	Dspace	1840.20/8
"Crain, R.C."	personal				NCSU	Dspace	1840.20/8
"Crain, Robert C."	personal				NCSU	Dspace	1840.20/8
"Cramer, Harald"	personal				NCSU	Dspace	1840.20/8
"Crane, D."	personal				NCSU	Dspace	1840.20/8
"Crane, D. Francis"	personal				NCSU	Dspace	1840.20/8
"Crane, Michael A."	personal				NCSU	Dspace	1840.20/8
"Crane, Peter M."	personal				NCSU	Dspace	1840.20/8
"Crane, Stuart R."	personal				NCSU	Dspace	1840.20/8
"Cranford III, E. Lyles"	personal				NCSU	Dspace	1840.20/8
"Cranga, M."	personal				NCSU	Dspace	1840.20/8
"Crawford, Kyle"	personal				NCSU	Dspace	1840.20/8
"Crawford, Melba M."	personal				NCSU	Dspace	1840.20/8
"Crawford, Paul B."	personal				NCSU	Dspace	1840.20/8
"Crawford-Brown, Douglas J."	personal				NCSU	Dspace	1840.20/8
"Creason, J. P."	personal				NCSU	Dspace	1840.20/8
"Creaven, Gerald"	personal				NCSU	Dspace	1840.20/8
"Crenshaw, Marnita C."	personal				NCSU	Dspace	1840.20/8
"Cressie, N."	personal				NCSU	Dspace	1840.20/8
"Creus, G.J."	personal				NCSU	Dspace	1840.20/8
"Crews, Hugh B."	personal				NCSU	Dspace	1840.20/8
"Crews, John H."	personal				NCSU	Dspace	1840.20/8
"Criner, Amanda Keck"	personal				NCSU	Dspace	1840.20/8
"Cripps, R.C."	personal				NCSU	Dspace	1840.20/8
"Crisp, Robert M., Jr."	personal				NCSU	Dspace	1840.20/8
"Crissey, Brian Laird"	personal				NCSU	Dspace	1840.20/8
"Crnkovic, Jakov"	personal				NCSU	Dspace	1840.20/8
"Crocker, Charles M., Jr."	personal				NCSU	Dspace	1840.20/8
"Crocker, E. C."	personal				NCSU	Dspace	1840.20/8
"Cronen, Vernon E."	personal				NCSU	Dspace	1840.20/8
"Cross, Gary"	personal				NCSU	Dspace	1840.20/8
"Cross, Karissa"	personal				NCSU	Dspace	1840.20/8
"Crosslin, Robert"	personal				NCSU	Dspace	1840.20/8
"Crovella, Mark E."	personal				NCSU	Dspace	1840.20/8
"Crow, Frank"	personal				NCSU	Dspace	1840.20/8
"Crowder, Larry"	personal				NCSU	Dspace	1840.20/8
"Crowell, John I."	personal				NCSU	Dspace	1840.20/8
"Crowley, A. J."	personal				NCSU	Dspace	1840.20/8
"Crowley, Frederick V."	personal				NCSU	Dspace	1840.20/8
"Crowley, Kenneth W."	personal				NCSU	Dspace	1840.20/8
"Crua, A."	personal				NCSU	Dspace	1840.20/8
"Crum, Richard D."	personal				NCSU	Dspace	1840.20/8
"Crutzen, S."	personal				NCSU	Dspace	1840.20/8
"Cruz, J.R.B."	personal				NCSU	Dspace	1840.20/8
"Cruz, Julio Ricardo Barreto"	personal				NCSU	Dspace	1840.20/8
"Crysdale, Richard A."	personal				NCSU	Dspace	1840.20/8
"Cser, Helene"	personal				NCSU	Dspace	1840.20/8
"Csorgo, Sandor"	personal				NCSU	Dspace	1840.20/8
"Cubert, Robert M."	personal				NCSU	Dspace	1840.20/8
"Cueto-Felgueroso, C."	personal				NCSU	Dspace	1840.20/8
"Cueto-Felgueroso, Carlos"	personal				NCSU	Dspace	1840.20/8
"Cui, Weidong"	personal				NCSU	Dspace	1840.20/8
"Cui, Yun"	personal				NCSU	Dspace	1840.20/8
"Cui, Zhi"	personal				NCSU	Dspace	1840.20/8
"Culbreath, R. H."	personal				NCSU	Dspace	1840.20/8
"Cullinane, Thomas"	personal				NCSU	Dspace	1840.20/8
"Cumeo, Larry"	personal				NCSU	Dspace	1840.20/8
"Cummins, Fred"	personal				NCSU	Dspace	1840.20/8
"Cummins, W. Edward"	personal				NCSU	Dspace	1840.20/8
"Cumsille, J. F."	personal				NCSU	Dspace	1840.20/8
"Cunningham, Lynn"	personal				NCSU	Dspace	1840.20/8
"Cunningham, Mark A., Drouin, Mary   T."	personal				NCSU	Dspace	1840.20/8
"Cunningham, Sean"	personal				NCSU	Dspace	1840.20/8
"Curran, Thomas C."	personal				NCSU	Dspace	1840.20/8
"Curran, Tim"	personal				NCSU	Dspace	1840.20/8
"Currie, Kenneth R."	personal				NCSU	Dspace	1840.20/8
"Currier, Judith B."	personal				NCSU	Dspace	1840.20/8
"Curry, Guy L."	personal				NCSU	Dspace	1840.20/8
"Curry, James"	personal				NCSU	Dspace	1840.20/8
"Curry, R. B."	personal				NCSU	Dspace	1840.20/8
"Curtain, R. F."	personal				NCSU	Dspace	1840.20/8
"Curtin, L. R."	personal				NCSU	Dspace	1840.20/8
"Curtis, P. D."	personal				NCSU	Dspace	1840.20/8
"Curtsdotter, Alva"	personal				NCSU	Dspace	1840.20/8
"Cusick, Mark"	personal				NCSU	Dspace	1840.20/8
"Cuthbert, Richard D."	personal				NCSU	Dspace	1840.20/8
"Cutler, M. M."	personal				NCSU	Dspace	1840.20/8
"Cutler, Melvin M."	personal				NCSU	Dspace	1840.20/8
"Cygnus, Marc W."	personal				NCSU	Dspace	1840.20/8
"Cyr, Rodney W."	personal				NCSU	Dspace	1840.20/8
"Czarnecki, Hank"	personal				NCSU	Dspace	1840.20/8
"Czitrom, Veronica A."	personal				NCSU	Dspace	1840.20/8
"Czochor, R. J."	personal				NCSU	Dspace	1840.20/8
"da Silva e Souza, Geraldo"	personal				NCSU	Dspace	1840.20/8
"da Silva, Joao Gilberto Correa"	personal				NCSU	Dspace	1840.20/8
"da Silva, R.E.."	personal				NCSU	Dspace	1840.20/8
"Dacunto, Lawrence J."	personal				NCSU	Dspace	1840.20/8
"Dagba, Yves"	personal				NCSU	Dspace	1840.20/8
"Dagher, E."	personal				NCSU	Dspace	1840.20/8
"Dahl, Johan"	personal				NCSU	Dspace	1840.20/8
"Dahl, Susan"	personal				NCSU	Dspace	1840.20/8
"Dahlberg, Lars"	personal				NCSU	Dspace	1840.20/8
"Dahmann, Judith S."	personal				NCSU	Dspace	1840.20/8
"Dahn, David"	personal				NCSU	Dspace	1840.20/8
"Dai, Donglai"	personal				NCSU	Dspace	1840.20/8
"Dai, Liyi"	personal				NCSU	Dspace	1840.20/8
"Daigle, Gene"	personal				NCSU	Dspace	1840.20/8
"Daily, O. Patrick"	personal				NCSU	Dspace	1840.20/8
"Dalal, Malay A."	personal				NCSU	Dspace	1840.20/8
"Dalbera, J."	personal				NCSU	Dspace	1840.20/8
"DalCorso, Daniel"	personal				NCSU	Dspace	1840.20/8
"Dale, Charles"	personal				NCSU	Dspace	1840.20/8
"Dale, Robert F."	personal				NCSU	Dspace	1840.20/8
"Daley, D. J."	personal				NCSU	Dspace	1840.20/8
"Dalguer, Luis Angel"	personal				NCSU	Dspace	1840.20/8
"Dall'Aglio, Giorgio"	personal				NCSU	Dspace	1840.20/8
"Dalle Molle, John W."	personal				NCSU	Dspace	1840.20/8
"Dallery, Y."	personal				NCSU	Dspace	1840.20/8
"Dalton, Oren"	personal				NCSU	Dspace	1840.20/8
"Panesar, Daman"	personal				NCSU	Dspace	1840.20/8
"Damaskos, S."	personal				NCSU	Dspace	1840.20/8
"Dame, James K."	personal				NCSU	Dspace	1840.20/8
"Dame, Mark A."	personal				NCSU	Dspace	1840.20/8
"Damerdiji, Halim"	personal				NCSU	Dspace	1840.20/8
"Damerdji, H."	personal				NCSU	Dspace	1840.20/8
"Damerdji, Halim"	personal				NCSU	Dspace	1840.20/8
"Dameron, Robert A."	personal				NCSU	Dspace	1840.20/8
"Dameron, R.A."	personal				NCSU	Dspace	1840.20/8
"Damian, Daniela"	personal				NCSU	Dspace	1840.20/8
"Damjanic, F.B."	personal				NCSU	Dspace	1840.20/8
"Damodaran, S.P."	personal				NCSU	Dspace	1840.20/8
"Dancygier, A.N."	personal				NCSU	Dspace	1840.20/8
"Danesi, R."	personal				NCSU	Dspace	1840.20/8
"Danesi, R.F."	personal				NCSU	Dspace	1840.20/8
"Danford, Masil Danford"	personal				NCSU	Dspace	1840.20/8
"Dangel, G.W."	personal				NCSU	Dspace	1840.20/8
"Danichev,   V.V."	personal				NCSU	Dspace	1840.20/8
"Makovicka, Daniel"	personal				NCSU	Dspace	1840.20/8
"Daniel, C. C."	personal				NCSU	Dspace	1840.20/8
"Daniel, Dorsey W."	personal				NCSU	Dspace	1840.20/8
"Daniel, S."	personal				NCSU	Dspace	1840.20/8
"Daniel, Shawna"	personal				NCSU	Dspace	1840.20/8
"Daniels, Cheryl M."	personal				NCSU	Dspace	1840.20/8
"Daniels, Edward B."	personal				NCSU	Dspace	1840.20/8
"Daniels, R. B."	personal				NCSU	Dspace	1840.20/8
"Danielson, Briana G."	personal				NCSU	Dspace	1840.20/8
"Danielson, Leon E."	personal				NCSU	Dspace	1840.20/8
"Danisch, R."	personal				NCSU	Dspace	1840.20/8
"Danisch, Ruediger"	personal				NCSU	Dspace	1840.20/8
"Dankbar, Gene C."	personal				NCSU	Dspace	1840.20/8
"Danko, J."	personal				NCSU	Dspace	1840.20/8
"Danko, John"	personal				NCSU	Dspace	1840.20/8
"Dapino, Marcelo J."	personal				NCSU	Dspace	1840.20/8
"Darukhanavala, Phiroz P."	personal				NCSU	Dspace	1840.20/8
"Darwin, Robert W."	personal				NCSU	Dspace	1840.20/8
"Das, M."	personal				NCSU	Dspace	1840.20/8
"Das, S."	personal				NCSU	Dspace	1840.20/8
"Das, Samir R."	personal				NCSU	Dspace	1840.20/8
"Das, Shubhabrata"	personal				NCSU	Dspace	1840.20/8
"Dasgupta, A."	personal				NCSU	Dspace	1840.20/8
"Daspit, G."	personal				NCSU	Dspace	1840.20/8
"Dassel, K. A."	personal				NCSU	Dspace	1840.20/8
"Dassel, Karen A."	personal				NCSU	Dspace	1840.20/8
"Dat, Nguyen Van"	personal				NCSU	Dspace	1840.20/8
"Date, Shingo"	personal				NCSU	Dspace	1840.20/8
"Datta, S."	personal				NCSU	Dspace	1840.20/8
"Datta, Tushar Kanti"	personal				NCSU	Dspace	1840.20/8
"Dattero, Ronald"	personal				NCSU	Dspace	1840.20/8
"Daugherty, W.L."	personal				NCSU	Dspace	1840.20/8
"Daughety, Andrew F."	personal				NCSU	Dspace	1840.20/8
"Daughtrey, Rodney"	personal				NCSU	Dspace	1840.20/8
"Daughtry, John M."	personal				NCSU	Dspace	1840.20/8
"Daum, Thorsten"	personal				NCSU	Dspace	1840.20/8
"Daun, Thorsten"	personal				NCSU	Dspace	1840.20/8
"Dausch, D."	personal				NCSU	Dspace	1840.20/8
"Davenport, Teresa R."	personal				NCSU	Dspace	1840.20/8
"Dean, David W."	personal				NCSU	Dspace	1840.20/8
"David, H. A."	personal				NCSU	Dspace	1840.20/8
"David, John A."	personal				NCSU	Dspace	1840.20/8
"David, John W."	personal				NCSU	Dspace	1840.20/8
"David, M."	personal				NCSU	Dspace	1840.20/8
"David, P.H."	personal				NCSU	Dspace	1840.20/8
"Davidian, Marie"	personal				NCSU	Dspace	1840.20/8
"Davidson, David L."	personal				NCSU	Dspace	1840.20/8
"Davies, D.R."	personal				NCSU	Dspace	1840.20/8
"Davies, Glenn M."	personal				NCSU	Dspace	1840.20/8
"Davies, H. I."	personal				NCSU	Dspace	1840.20/8
"Davies, Ruth"	personal				NCSU	Dspace	1840.20/8
"Davies, Ruth M."	personal				NCSU	Dspace	1840.20/8
"Davis, A. W."	personal				NCSU	Dspace	1840.20/8
"Davis, Adam Clarke"	personal				NCSU	Dspace	1840.20/8
"Davis, Bruce"	personal				NCSU	Dspace	1840.20/8
"Davis, Carl C."	personal				NCSU	Dspace	1840.20/8
"Davis, Carolyn K."	personal				NCSU	Dspace	1840.20/8
"Davis, Christine"	personal				NCSU	Dspace	1840.20/8
"Davis, Clarence E."	personal				NCSU	Dspace	1840.20/8
"Davis, D.C."	personal				NCSU	Dspace	1840.20/8
"Davis, Deborah A."	personal				NCSU	Dspace	1840.20/8
"Davis, Edward A."	personal				NCSU	Dspace	1840.20/8
"Davis, Edward W."	personal				NCSU	Dspace	1840.20/8
"Davis, Francis"	personal				NCSU	Dspace	1840.20/8
"Davis, Frank M."	personal				NCSU	Dspace	1840.20/8
"Davis, Gary I."	personal				NCSU	Dspace	1840.20/8
"Davis, Graham J."	personal				NCSU	Dspace	1840.20/8
"Davis, H. I."	personal				NCSU	Dspace	1840.20/8
"Davis, H. Lee"	personal				NCSU	Dspace	1840.20/8
"Davis, J. C."	personal				NCSU	Dspace	1840.20/8
"Davis, Jerry M."	personal				NCSU	Dspace	1840.20/8
"Davis, Jimena L."	personal				NCSU	Dspace	1840.20/8
"Davis, Joseph R."	personal				NCSU	Dspace	1840.20/8
"Davis, K. Roscoe"	personal				NCSU	Dspace	1840.20/8
"Davis, Matthew S."	personal				NCSU	Dspace	1840.20/8
"Davis, P.R."	personal				NCSU	Dspace	1840.20/8
"Davis, Paul K."	personal				NCSU	Dspace	1840.20/8
"Davis, Randy L."	personal				NCSU	Dspace	1840.20/8
"Davis, Robert P."	personal				NCSU	Dspace	1840.20/8
"Davis, S.V."	personal				NCSU	Dspace	1840.20/8
"Davis, Sonia M."	personal				NCSU	Dspace	1840.20/8
"Davis, Timothy A."	personal				NCSU	Dspace	1840.20/8
"Davis, Vicki G."	personal				NCSU	Dspace	1840.20/8
"Davis, W.J."	personal				NCSU	Dspace	1840.20/8
"Davis, Wayne J."	personal				NCSU	Dspace	1840.20/8
"Davison, Graydon"	personal				NCSU	Dspace	1840.20/8
"Davison, W. Richard"	personal				NCSU	Dspace	1840.20/8
"Day, Ralph L."	personal				NCSU	Dspace	1840.20/8
"Day, Richard O."	personal				NCSU	Dspace	1840.20/8
"de Amorim, Marcelo D."	personal				NCSU	Dspace	1840.20/8
"de Andrade, Dalton Francisco"	personal				NCSU	Dspace	1840.20/8
"De Aquino, C.T.E."	personal				NCSU	Dspace	1840.20/8
"De Boer, A."	personal				NCSU	Dspace	1840.20/8
"de Campos Selke, C.A."	personal				NCSU	Dspace	1840.20/8
"De Carvalho, M.A.M."	personal				NCSU	Dspace	1840.20/8
"de Castro, P.M.S.T."	personal				NCSU	Dspace	1840.20/8
"de Halleux, Jonathan"	personal				NCSU	Dspace	1840.20/8
"de Hollan, Aurel N."	personal				NCSU	Dspace	1840.20/8
"De Iorio, A."	personal				NCSU	Dspace	1840.20/8
"de Jongh, P. J."	personal				NCSU	Dspace	1840.20/8
"De la, Torre J."	personal				NCSU	Dspace	1840.20/8
"De Langre, E."	personal				NCSU	Dspace	1840.20/8
"de Leon, D."	personal				NCSU	Dspace	1840.20/8
"De Lima,   J.M."	personal				NCSU	Dspace	1840.20/8
"de Limelette, Caroline"	personal				NCSU	Dspace	1840.20/8
"de los Reyes, Francis"	personal				NCSU	Dspace	1840.20/8
"de los Reyes, Francis L. III"	personal				NCSU	Dspace	1840.20/8
"de Luna, Javier"	personal				NCSU	Dspace	1840.20/8
"de Marneffe, L."	personal				NCSU	Dspace	1840.20/8
"de Medeiros, Jaqueline Moreira de Souza"	personal				NCSU	Dspace	1840.20/8
"de Melo, F.J.M.Q."	personal				NCSU	Dspace	1840.20/8
"De Noronha, R.F."	personal				NCSU	Dspace	1840.20/8
"De Oliveira, C.A."	personal				NCSU	Dspace	1840.20/8
"de Oliveira, N. F."	personal				NCSU	Dspace	1840.20/8
"de Paulis, A."	personal				NCSU	Dspace	1840.20/8
"De Perthuis, S."	personal				NCSU	Dspace	1840.20/8
"De Pertuis, S ."	personal				NCSU	Dspace	1840.20/8
"de Rezende, Jose F."	personal				NCSU	Dspace	1840.20/8
"de Silva, F. N."	personal				NCSU	Dspace	1840.20/8
"De Smet, M."	personal				NCSU	Dspace	1840.20/8
"de Wet, T."	personal				NCSU	Dspace	1840.20/8
"De, Tathagata"	personal				NCSU	Dspace	1840.20/8
"Dean, Cheryl H."	personal				NCSU	Dspace	1840.20/8
"Dean, D.W."	personal				NCSU	Dspace	1840.20/8
"Dean, David William"	personal				NCSU	Dspace	1840.20/8
"Dean, G."	personal				NCSU	Dspace	1840.20/8
"Dean, Stuart"	personal				NCSU	Dspace	1840.20/8
"Dean, Tony"	personal				NCSU	Dspace	1840.20/8
"Deason, Ginger"	personal				NCSU	Dspace	1840.20/8
"Debaene, J.-P."	personal				NCSU	Dspace	1840.20/8
"Debarberis, Luigi"	personal				NCSU	Dspace	1840.20/8
"Debarberis, L."	personal				NCSU	Dspace	1840.20/8
"Debost, Isabelle"	personal				NCSU	Dspace	1840.20/8
"DeBrota, David J."	personal				NCSU	Dspace	1840.20/8
"Debruyne, Gilles"	personal				NCSU	Dspace	1840.20/8
"Debruyne, G."	personal				NCSU	Dspace	1840.20/8
"DeBusk, Kathy"	personal				NCSU	Dspace	1840.20/8
"DeCabooter, Philip H."	personal				NCSU	Dspace	1840.20/8
"DeCario, Nina"	personal				NCSU	Dspace	1840.20/8
"Deckro, Richard F."	personal				NCSU	Dspace	1840.20/8
"Dediu, Sava"	personal				NCSU	Dspace	1840.20/8
"Deeken, G."	personal				NCSU	Dspace	1840.20/8
"Deelman, Ewa"	personal				NCSU	Dspace	1840.20/8
"Deemer, Walter L."	personal				NCSU	Dspace	1840.20/8
