name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
Adair, Margaret	personal		Creator			UNCCH	CDR	
Adalsteinsson, David	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Adam, Gaelen P	personal		Creator			UNCCH	CDR	
Adam, Karl Martin	personal		Author			UNCCH	CDR	
Adam-Houser, Mathew A.	personal		Creator			UNCCH	CDR	
Adamo, Barbara	personal		Creator			UNCCH	CDR	
Adamo, Elena	personal		Creator			UNCCH	CDR	
Adamo, Julie	personal		Creator			UNCCH	CDR	
Adams, Brian	personal		Creator			UNCCH	CDR	
Adams, Christopher	personal		Composer			UNCCH	CDR	
Adams, Cynthia D.	personal		Creator			UNCCH	CDR	
Adams, Daniel Brian	personal		Creator			UNCCH	CDR	
Adams, Elizabeth	personal		Thesis advisor			UNCCH	CDR	
Adams, Elizabeth A.	personal		Creator			UNCCH	CDR	
Adams, Erika	personal		Creator			UNCCH	CDR	
Adams, Harry	personal		Creator			UNCCH	CDR	
Adams, Julian	personal		Creator			UNCCH	CDR	
Adams, Leslie	personal		Creator			UNCCH	CDR	
Adams, Mikaëla M.	personal		Creator			UNCCH	CDR	
Adams, Nicholas S.	personal		Creator			UNCCH	CDR	
Adams, Rayhaan	personal		Creator			UNCCH	CDR	
Adams, Reid L.	personal		Creator			UNCCH	CDR	
Adams, Robert	personal		Thesis advisor			UNCCH	CDR	
Adams, Sarah Elizabeth	personal		Creator			UNCCH	CDR	
Adams, Scott D.	personal		Thesis advisor			UNCCH	CDR	
Adams, Stacie	personal		Creator			UNCCH	CDR	
Adams, Stephanie	personal		Creator			UNCCH	CDR	
Adams, Stephanie J.	personal		Creator			UNCCH	CDR	
Adams, Whitney N.	personal		Creator			UNCCH	CDR	
Adams-Mardi, Cyrus	personal		Creator			UNCCH	CDR	
Adamson, Joel	personal		Creator			UNCCH	CDR	
Adamson, MD, MPP, Adewole	personal		Reviewer			UNCCH	CDR	
Adamson, Stephanie	personal		Creator			UNCCH	CDR	
Adatia, Nimet Diamond	personal		Creator			UNCCH	CDR	
Adatorwovor, Reuben	personal		Creator			UNCCH	CDR	
Adcock, Lee M., III	personal		Creator			UNCCH	CDR	
Addington, Anjene M.	personal		Creator			UNCCH	CDR	
Addington, Donald	personal		Creator			UNCCH	CDR	
Addington, Jean	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Addison, Dolores	personal		Creator			UNCCH	CDR	
Addison, Jessica	personal		Creator			UNCCH	CDR	
Adduci, Laura	personal		Creator			UNCCH	CDR	
Addy, Naa Dede	personal		Creator			UNCCH	CDR	
Addy, Naa Dede Awula	personal		Creator			UNCCH	CDR	
Adebamowo, Clement	personal		Creator			UNCCH	CDR	
Adebanjo, Tolu	personal		Creator			UNCCH	CDR	
Adeleye, Yeyejide A	personal		Creator			UNCCH	CDR	
Adelman, Avril	personal		Creator			UNCCH	CDR	
Adelman, Caroline Bliss	personal		Creator			UNCCH	CDR	
Adelman, Daniel Lindorff	personal		Creator			UNCCH	CDR	
Adelman, Karen	personal		Creator			UNCCH	CDR	
Adelstein, Robert	personal		Thesis advisor			UNCCH	CDR	
Adeniji, Elisha	personal		Creator			UNCCH	CDR	
Aderem, Alan	personal		Creator			UNCCH	CDR	
Adesse, Leila	personal		Creator			UNCCH	CDR	
Adgate, John L.	personal		Creator			UNCCH	CDR	
Adgent, Margaret	personal		Creator			UNCCH	CDR	
Adikes, Rebecca	personal		Author			UNCCH	CDR	
Adimora, Adaora	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Adimorah, Nesochi	personal		Creator			UNCCH	CDR	
Adjei, George	personal		Creator			UNCCH	CDR	
Adjei, Samuel	personal		Creator			UNCCH	CDR	
Adkins, Amanda Huff	personal		Creator			UNCCH	CDR	
Adkins, Charles Jackson, Jr.	personal		Creator			UNCCH	CDR	
Adkins, Daniel E.	personal		Creator			UNCCH	CDR	
Adkins, Judy Robbyne	personal		Creator			UNCCH	CDR	
Adkisson, Kelsie	personal		Creator			UNCCH	CDR	
Adlard, Julian	personal		Creator			UNCCH	CDR	
Adler, David	personal		Author			UNCCH	CDR	
Adler, Judy Ann	personal		Creator			UNCCH	CDR	
Adler, Kenneth B	personal		Creator			UNCCH	CDR	
Adli, Mezher	personal		Creator			UNCCH	CDR	
Adolphe, Bruce	personal		Composer			UNCCH	CDR	
Adolphus, Milton	personal		Composer			UNCCH	CDR	
Adongo, Philip B	personal		Creator			UNCCH	CDR	
Adrian, Betty	personal		Thesis advisor			UNCCH	CDR	
Adrion, Alden	personal		Creator			UNCCH	CDR	
Aery, Sean C.	personal		Creator			UNCCH	CDR	
Afentakis, Maria	personal		Creator			UNCCH	CDR	
Afenyi-Annan, Araba N., MD	personal		Creator			UNCCH	CDR	
Affah, Gideon	personal		Creator			UNCCH	CDR	
Affuso, Olivia	personal		Creator			UNCCH	CDR	
Afshari, Hessam M	personal		Creator			UNCCH	CDR	
Aft, Rebecca	personal		Creator			UNCCH	CDR	
Agache, Ioana O	personal		Creator			UNCCH	CDR	
Agala, Chris	personal		Creator			UNCCH	CDR	
Agan, Kelly	personal		Creator			UNCCH	CDR	
Agans, Robert P	personal		Creator			UNCCH	CDR	
Agarwal, Arnav	personal		Creator			UNCCH	CDR	
Agarwal, Mayank	personal		Creator			UNCCH	CDR	
Agarwal, Roshan	personal		Creator			UNCCH	CDR	
Agarwal, Sameer	personal		Thesis advisor			UNCCH	CDR	
Agarwal, Sunil K.	personal		Creator			UNCCH	CDR	
Agbe-Davies, Anna	personal		Thesis advisor			UNCCH	CDR	
Agbe-Davies, Anna S.	personal		Creator			UNCCH	CDR	
Agbenyega, Tsiri	personal		Creator			UNCCH	CDR	
Aggarwal, Vimla	personal		Thesis advisor			UNCCH	CDR	
Agger, Charlotte	personal		Creator			UNCCH	CDR	
Aghajanian, Amir	personal		Creator			UNCCH	CDR	
Aghapour, Andrew	personal		Creator			UNCCH	CDR	
Aghaulor, Blessing	personal		Creator			UNCCH	CDR	
Aghera, Shaily	personal		Creator			UNCCH	CDR	
Agi, Erol	personal		Creator			UNCCH	CDR	
Agler, Cary	personal		Thesis advisor			UNCCH	CDR	
Agnandji, Selidji T	personal		Creator			UNCCH	CDR	
Agnarsson, Bjarni A	personal		Creator			UNCCH	CDR	
Agnelli, Giancarlo	personal		Creator			UNCCH	CDR	
Agnew, Christine	personal		Creator			UNCCH	CDR	
Agnew, Laura	personal		Creator			UNCCH	CDR	
Agnew, Nancy C.	personal		Creator			UNCCH	CDR	
Agnihothram, Sudhakar	personal		Creator			UNCCH	CDR	
Agoglia, Abigail	personal		Creator			UNCCH	CDR	
Agrawal, Alpna	personal		Creator			UNCCH	CDR	
Aguilar, Alain	personal		Thesis advisor			UNCCH	CDR	
Aguilar, Alain J.	personal		Creator			UNCCH	CDR	
Aguilar, Danielle	personal		Creator			UNCCH	CDR	
Aguilar, Michael	personal		Thesis advisor			UNCCH	CDR	
Aguilar, Mike	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Agusti, Alvar	personal		Creator			UNCCH	CDR	
Agyapong, Apri Carr	personal		Creator			UNCCH	CDR	
Agyekum, Alex	personal		Creator			UNCCH	CDR	
Agyeman-Prempeh, Carole	personal		Creator			UNCCH	CDR	
Ahalt, Stanley	personal		Thesis advisor			UNCCH	CDR	
Ahearn, Lorraine	personal		Creator			UNCCH	CDR	
Ahearn, M. Alex	personal		Creator			UNCCH	CDR	
Ahearn, Marshall	personal		Creator			UNCCH	CDR	
Ahlas, Harry	personal		Creator			UNCCH	CDR	
Ahlen, Jan	personal		Creator			UNCCH	CDR	
Ahlgrim, Nathan	personal		Creator			UNCCH	CDR	
Ahmad, Asad	personal		Creator			UNCCH	CDR	
Ahmad, Asad A	personal		Creator			UNCCH	CDR	
Ahmad, Hussein Ahmad	personal		Creator			UNCCH	CDR	
Ahmad, Kami	personal		Creator			UNCCH	CDR	
Ahmad, Nuha E.	personal		Creator			UNCCH	CDR	
Ahman, Brian F.	personal		Creator			UNCCH	CDR	
Ahmed, Jubayer	personal		Creator			UNCCH	CDR	
Ahmed, Mohammad	personal		Thesis advisor			UNCCH	CDR	
Ahmed, Shawn	personal		Thesis advisor			UNCCH	CDR	
Ahmed, Sumayya	personal		Creator			UNCCH	CDR	
Ahmed, Sumitha	personal		Thesis advisor			UNCCH	CDR	
Ahmed, Yusuf	personal		Creator			UNCCH	CDR	
Ahmed, Zara	personal		Author			UNCCH	CDR	
Ahn, Bumsoo	personal		Creator			UNCCH	CDR	
Ahn, Jeongyoun	personal		Creator			UNCCH	CDR	
Ahn, Jiyoung	personal		Creator			UNCCH	CDR	
Ahn, Kangmo	personal		Creator			UNCCH	CDR	
Ahn, Kwangseog	personal		Creator			UNCCH	CDR	
Ahn, Mihye	personal		Creator			UNCCH	CDR	
Aho, Kalevi	personal		Composer			UNCCH	CDR	
Ahring, Kirsten	personal		Creator			UNCCH	CDR	
Ahsan, Karar Z	personal		Creator			UNCCH	CDR	
Ahuja, Neel	personal		Thesis advisor			UNCCH	CDR	
Aicher, Kevin	personal		Creator			UNCCH	CDR	
Aiello, Allison	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Aiello, Allison E	personal		Creator			UNCCH	CDR	
Aijaz, Monisa	personal		Creator			UNCCH	CDR	
Aikat, Debashis	personal		Thesis advisor			UNCCH	CDR	
Aikat, Jay	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Aiken, Benjamin A.	personal		Creator			UNCCH	CDR	
Aiken, Charles	personal		Creator;;;Thesis advisor			UNCCH	CDR	
Aiken, Diane E.	personal		Creator			UNCCH	CDR	
Aiken, George	personal		Thesis advisor			UNCCH	CDR	
Aiken, Robert	personal		Creator			UNCCH	CDR	
Aimyong, Natnaree	personal		Creator			UNCCH	CDR	
Ainslie, Garrett Robert	personal		Creator			UNCCH	CDR	
Ainslie, Kristy	personal		Thesis advisor			UNCCH	CDR	
Aisenberg, Javier	personal		Creator			UNCCH	CDR	
Aita, Megumi	personal		Creator			UNCCH	CDR	
Aitken, Michael	personal		Thesis advisor;;;Reviewer			UNCCH	CDR	
Aitken, PhD, Michael	personal		Reviewer			UNCCH	CDR	
Aittomäki, Kristiina	personal		Creator			UNCCH	CDR	
Ajay, Divya	personal		Creator			UNCCH	CDR	
Ajemian, Robert C.	personal		Creator			UNCCH	CDR	
Aji, Adam	personal		Creator			UNCCH	CDR	
Ajmani, Arti	personal		Creator			UNCCH	CDR	
Akaligaung, Akalpa	personal		Creator			UNCCH	CDR	
Akapaiboon, Natta	personal		Creator			UNCCH	CDR	
Akatova, Natalia	personal		Creator			UNCCH	CDR	
Akazawa, Manabu	personal		Creator			UNCCH	CDR	
Akbani, Rehan	personal		Creator			UNCCH	CDR	
Akbar, Saima A.	personal		Creator			UNCCH	CDR	
Akcali, Kamil	personal		Creator			UNCCH	CDR	
Akdis, Cezmi	personal		Creator			UNCCH	CDR	
Ake, George S	personal		Creator			UNCCH	CDR	
Akers, Aletha, MD	personal		Creator			UNCCH	CDR	
Akers, Frank H., III	personal		Creator			UNCCH	CDR	
Akers, Joshua	personal		Creator			UNCCH	CDR	
Akers, Kimberly	personal		Thesis advisor			UNCCH	CDR	
Akers, Trey	personal		Creator			UNCCH	CDR	
Akhtar, Aysha, MD	personal		Creator			UNCCH	CDR	
Akiba, Chris	personal		Creator			UNCCH	CDR	
Akimoto, Hitomi	personal		Creator			UNCCH	CDR	
Akin, John S.	personal		Thesis advisor			UNCCH	CDR	
Akin, Katherine Eberlie	personal		Creator			UNCCH	CDR	
Akinkugbe, Aderonke	personal		Creator			UNCCH	CDR	
Akinnagbe-Zusterzeel, Esther	personal		Creator			UNCCH	CDR	
Akinola, Oluseyi	personal		Creator			UNCCH	CDR	
Akiode, Akinsewa	personal		Creator			UNCCH	CDR	
Akita, Yasuyuki	personal		Creator			UNCCH	CDR	
Akiyama, Jill	personal		Creator			UNCCH	CDR	
