name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Ammons, Doreyl, 1944-"	personal					ECU	Symphony	NCPersName
"Ammons, Sherilyn"	personal					ECU	Symphony	NCPersName
"Amory, Charles Bean, 1841-"	personal					ECU	Symphony	NCPersName
"Anders, C. J."	personal					ECU	Symphony	NCPersName
"Andersen, Al"	personal					ECU	Symphony	NCPersName
"Anderson, Alston, 1924-"	personal					ECU	Symphony	NCPersName
"Anderson, Linda (Linda Kirchman)"	personal					ECU	Symphony	NCPersName
"Anderson, Lucy London"	personal					ECU	Symphony	NCPersName
"Anderson, Maxwell, 1888-1959"	personal					ECU	Symphony	NCPersName
"Anderson, Rufus, 1796-1880"	personal					ECU	Symphony	NCPersName
"Anderson, Sherwood, 1876-1941"	personal					ECU	Symphony	NCPersName
"Anderson, W. W. (Walter Wadsley), 1904-"	personal					ECU	Symphony	NCPersName
"Anderson, Walker, 1801-1857"	personal					ECU	Symphony	NCPersName
"Andresen, Kroghie"	personal					ECU	Symphony	NCPersName
"Andrew, John, 1815-1870"	personal					ECU	Symphony	NCPersName
"Andrews, Kathryn (Novelist)"	personal					ECU	Symphony	NCPersName
"Andrews, R. McCants (Robert McCants)"	personal					ECU	Symphony	NCPersName
"Andrews, Sidney, 1837-1880"	personal					ECU	Symphony	NCPersName
"Andrews, Stephen P., Jr."	personal					ECU	Symphony	NCPersName
"Andrews, William L., 1946-"	personal					ECU	Symphony	NCPersName
"Angell, Polly"	personal					ECU	Symphony	NCPersName
"Anthony, Robert G., Jr."	personal					ECU	Symphony	NCPersName
"Applewhite, James"	personal					ECU	Symphony	NCPersName
"Arch, John, approximately 1797-1825"	personal					ECU	Symphony	NCPersName
"Archdale, John, 1642?-1717"	personal					ECU	Symphony	NCPersName
"Archer, Hazel Larsen, 1921-2001"	personal					ECU	Symphony	NCPersName
"Arlington, Lucy"	personal					ECU	Symphony	NCPersName
"Armfield, Eugene Morehead"	personal					ECU	Symphony	NCPersName
"Arnold, Jennifer"	personal					ECU	Symphony	NCPersName
"Arnold, June, 1926-"	personal					ECU	Symphony	NCPersName
"Arnold, Robert"	personal					ECU	Symphony	NCPersName
"Arntsen, Barbara"	personal					ECU	Symphony	NCPersName
"Arrington, Nick"	personal					ECU	Symphony	NCPersName
"Arthur, Mike"	personal					ECU	Symphony	NCPersName
"Asbury, Francis, 1745-1816"	personal					ECU	Symphony	NCPersName
"Ash, Walter E."	personal					ECU	Symphony	NCPersName
"Ashburn, Jesse Anderson, 1861-"	personal					ECU	Symphony	NCPersName
"Ashe, Geraldine Fisher"	personal					ECU	Symphony	NCPersName
"Ashe, Samuel A. (Samuel A'Court), 1840-1938"	personal					ECU	Symphony	NCPersName
"Ashley, Clifford W. (Clifford Warren), 1881-1947"	personal					ECU	Symphony	NCPersName
"Ashley, Diane"	personal					ECU	Symphony	NCPersName
"Asim, Jabari, 1962-"	personal					ECU	Symphony	NCPersName
"Aswell, Edward C. (Edward Campbell), 1900-1958"	personal					ECU	Symphony	NCPersName
"Aswell, James R., 1911-1982"	personal					ECU	Symphony	NCPersName
"Atamanchuk, Stan"	personal					ECU	Symphony	NCPersName
"Athas, Daphne, 1923-"	personal					ECU	Symphony	NCPersName
"Atkins, Garland"	personal					ECU	Symphony	NCPersName
"Atkins, Simon Green, 1863-1934"	personal					ECU	Symphony	NCPersName
"Atkinson, Natt, 1832-"	personal					ECU	Symphony	NCPersName
"Atkinson, Thomas, 1807-1881"	personal					ECU	Symphony	NCPersName
"Atrium, Stella"	personal					ECU	Symphony	NCPersName
"Austin, Gabrielle"	personal					ECU	Symphony	NCPersName
"Autrey, Jimmy C."	personal					ECU	Symphony	NCPersName
"Autry, Curt"	personal					ECU	Symphony	NCPersName
"Avalos, Elaina M."	personal					ECU	Symphony	NCPersName
"Averette, Sonya M."	personal					ECU	Symphony	NCPersName
"Avery, Alphonso Calhoun, 1835-1913"	personal					ECU	Symphony	NCPersName
"Avery, Isaac Erwin, 1871-1904"	personal					ECU	Symphony	NCPersName
"Avery, William B. (William Bailey)"	personal					ECU	Symphony	NCPersName
"Avett, Wally"	personal					ECU	Symphony	NCPersName
"Avirett, James B. (James Battle), 1837?-1912"	personal					ECU	Symphony	NCPersName
"Avison, George, 1885-"	personal					ECU	Symphony	NCPersName
"Aycock, Charles B. (Charles Brantley), 1859-1912"	personal					ECU	Symphony	NCPersName
"Aylward, W. J. (William James), 1875-1956"	personal					ECU	Symphony	NCPersName
"Bache, Ellyn"	personal					ECU	Symphony	NCPersName
"Bacon, S. Rankin (Samuel Rankin), 1900-2006"	personal					ECU	Symphony	NCPersName
"Bacon, S. Rankin"	personal					ECU	Symphony	NCPersName
