name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection	source					
Nutrition Research Institute	corporate					NCSU	ArchivesSpace		local					
Raleigh Development Company	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Foundations and Development Office	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Office of the Dean of the Faculty	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Libraries. North Carolina State University Librarians' Association (NCSULA)	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Engineering Operations Program	corporate					NCSU	ArchivesSpace		ingest					
"Biberstein and Bowles, Inc."	corporate					NCSU	ArchivesSpace		local					
Coopwell and Hausler Associates	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Faculty Senate	corporate					NCSU	ArchivesSpace		local					
G. Milton Small & Associates	corporate					NCSU	ArchivesSpace		local					
"Little, Lee & Associates, Inc. (Firm)"	corporate				ahd4003376	NCSU	ArchivesSpace		AIA Historical Directory					
Wake County (N.C.). Planning Department	corporate					NCSU	ArchivesSpace		local					
Exposition universelle de 1867 à Paris	corporate				http://lccn.loc.gov/n85268098	NCSU	ArchivesSpace		lcnaf					
National Institutes of Health (U.S.). Quantitative Genetics Research Program. Project GM 11546	corporate					NCSU	ArchivesSpace		local					
Triangle Animal Awareness	corporate					NCSU	ArchivesSpace		local					
"AE Finley Foundation, Inc."	corporate					NCSU	ArchivesSpace		local					
International Greenways Resource	corporate					NCSU	ArchivesSpace		local					
Marquette University. Department of Special Collections and University Archives	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Physics	corporate				http://lccn.loc.gov/n84198587	NCSU	ArchivesSpace		lcnaf					
Mars Hill College	corporate				http://lccn.loc.gov/n83217486	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Division of Academic and Student Affairs. University Housing	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Entomology -- Faculty	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Department of Entomology. Insect Collection	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Insect Museum	corporate					NCSU	ArchivesSpace		ingest					
United States. Department of Energy. Environmental Impacts Division	corporate				http://lccn.loc.gov/n79023599	NCSU	ArchivesSpace		lcnaf					
FabriCAD Consulting	corporate					NCSU	ArchivesSpace		local					
International Conference on the Physics of Electronic and Atomic Collisions	corporate				http://lccn.loc.gov/n79144671	NCSU	ArchivesSpace		lcnaf					
Animals Asia Foundation -- Periodicals	corporate					NCSU	ArchivesSpace		local					
North Carolina Agricultural Extension Service -- History	corporate					NCSU	ArchivesSpace		lcnaf					
Monticello Architectual Records	corporate					NCSU	ArchivesSpace		local					
N.C. Farm Bureau	corporate					NCSU	ArchivesSpace		local					
Technical Institute of Alamance	corporate				http://lccn.loc.gov/n88279916	NCSU	ArchivesSpace		lcnaf					
Purdue University	corporate				http://lccn.loc.gov/n79089817	NCSU	ArchivesSpace		lcnaf					
Willard C. Byrd and Associates (Firm)	corporate				ahd4006027	NCSU	ArchivesSpace		AIA Historical Directory					
Solar Energy Research and Education Foundation	corporate					NCSU	ArchivesSpace		local					
Amtrak	corporate			 		NCSU	ArchivesSpace							
Baltimore and Ohio Railroad Company	corporate				http://lccn.loc.gov/n79085090	NCSU	ArchivesSpace		lcnaf					
Bangor and Aroostook Railroad Company	corporate				http://lccn.loc.gov/n86134543	NCSU	ArchivesSpace		lcnaf					
Boston and Maine Railroad	corporate				http://lccn.loc.gov/n86134579	NCSU	ArchivesSpace		lcnaf					
Allison Lighthall Photographers	corporate					NCSU	ArchivesSpace		local					
North Carolina State College -- Employees -- History	corporate					NCSU	ArchivesSpace		local					
Broadway Limited (Express train)	corporate				https://lccn.loc.gov/sh88006715	NCSU	ArchivesSpace		lcnaf					
"Chicago, Burlington & Quincy Railroad Company"	corporate				https://lccn.loc.gov/n80081548	NCSU	ArchivesSpace		lcnaf					
California Zephyr (Express train)	corporate				https://lccn.loc.gov/sh94001226	NCSU	ArchivesSpace		lcnaf					
Canadian Pacific Railway Company	corporate				http://lccn.loc.gov/n84037887	NCSU	ArchivesSpace		lcnaf					
Central of Georgia Railway	corporate				http://lccn.loc.gov/n87873261	NCSU	ArchivesSpace		lcnaf					
Central Vermont Railway Co.	corporate				http://lccn.loc.gov/n86134544	NCSU	ArchivesSpace		lcnaf					
Chesapeake and Ohio Railroad Company	corporate				http://lccn.loc.gov/n80024343	NCSU	ArchivesSpace		lcnaf					
Chicago & Eastern Illinois Railroad Company	corporate				http://lccn.loc.gov/n86134545	NCSU	ArchivesSpace		lcnaf					
Erie Railroad Company	corporate				http://lccn.loc.gov/n85150559	NCSU	ArchivesSpace		lcnaf					
Florida East Coast Railway	corporate				http://lccn.loc.gov/n86132803	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. College of Textiles	corporate				http://lccn.loc.gov/n2005011063	NCSU	ArchivesSpace		lcnaf					
Georgia Railroad	corporate				http://lccn.loc.gov/n85229806	NCSU	ArchivesSpace		lcnaf					
"Gulf, Mobile and Northern Railroad Company"	corporate				http://lccn.loc.gov/n50000513	NCSU	ArchivesSpace		lcnaf					
Illinois Central Railroad Company	corporate				http://lccn.loc.gov/n50000516	NCSU	ArchivesSpace		lcnaf					
Illinois Terminal Railroad Company	corporate				http://lccn.loc.gov/n88219471	NCSU	ArchivesSpace		lcnaf					
