name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	Institution	source_system	collection	source					
"State Street Trust Company (Boston, Mass.)"	corporate				https://lccn.loc.gov/no2009156290	NCSU	ArchivesSpace		lcnaf					
American Legion	corporate				https://lccn.loc.gov/n79041719	NCSU	ArchivesSpace		lcnaf					
Custom Printing Inc.	corporate					NCSU	ArchivesSpace		local					
"Citizens Defense Corps (Raleigh, N.C.)"	corporate					NCSU	ArchivesSpace		local					
Prudent Press	corporate					NCSU	ArchivesSpace		ingest					
Warner Books (Firm)	corporate				https://lccn.loc.gov/n86019956	NCSU	ArchivesSpace		lcnaf					
"Popular Library (New York, N.Y.)"	corporate				https://lccn.loc.gov/no2017063288	NCSU	ArchivesSpace		lcnaf					
United States. Office of War Mobilization and Reconversion	corporate				http://lccn.loc.gov/n81035464	NCSU	ArchivesSpace		lcnaf					
Hollins University	corporate				http://lccn.loc.gov/no99027653	NCSU	ArchivesSpace		lcnaf					
"Time, Inc."	corporate				http://lccn.loc.gov/n79122379	NCSU	ArchivesSpace		lcnaf					
North Carolina Clean Energy Technology Center	corporate					NCSU	ArchivesSpace		local					
National Cotton Producers Association	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Solar House	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Chaplains' Cooperative Ministry	corporate					NCSU	ArchivesSpace		ingest					
Jerry Turner & Associates	corporate					NCSU	ArchivesSpace		ingest					
O'Brien Atkins Associates	corporate					NCSU	ArchivesSpace		local					
Roberts Stacy Group	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State College. Department of Animal Industry. Division of Animal Husbandry	corporate					NCSU	ArchivesSpace		local					
"Innovative Design, Inc."	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University -- History	corporate					NCSU	ArchivesSpace		lcnaf					
"Raleigh Chamber of Commerce  (Raleigh, N.C.)"	corporate				http://lccn.loc.gov/n98031563	NCSU	ArchivesSpace		lcnaf					
Wooten Company	corporate				https://lccn.loc.gov/n2001097561	NCSU	ArchivesSpace		lcnaf					
Smart-Isley Architects Inc.	corporate					NCSU	ArchivesSpace		local					
H. H. Architecture	corporate					NCSU	ArchivesSpace		ingest					
"Raleigh City Council  (Raleigh, N.C.)"	corporate					NCSU	ArchivesSpace		local					
"Brown, Edwards, & Miller, Inc."	corporate					NCSU	ArchivesSpace		local					
Red Cross and Red Crescent -- North Carolina -- Raleigh	corporate					NCSU	ArchivesSpace		lcnaf					
Lewis Clarke Associates	corporate					NCSU	ArchivesSpace		ingest					
"Polier, Ballard, & Associates"	corporate					NCSU	ArchivesSpace		local					
"North Carolina State University. Department of Marine, Earth, and Atmospheric Sciences"	corporate				http://lccn.loc.gov/n82077376	NCSU	ArchivesSpace		lcnaf					
J. N. Pease Associates	corporate					NCSU	ArchivesSpace		ingest					
"Dellinger Lee Nichols Assoc., PA"	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Geosciences	corporate				http://lccn.loc.gov/n82077377	NCSU	ArchivesSpace		lcnaf					
"Patton/Zucchino & Associates, PA"	corporate					NCSU	ArchivesSpace		local					
"Hammill-Walter Associates, Inc."	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Department of Rural Sociology -- History	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Department of Mineral Industries	corporate					NCSU	ArchivesSpace		ingest					
"Ballard, McKim & Sawyer (Firm)"	corporate					NCSU	ArchivesSpace		AIA Historical Directory					
"ARCADIS Geraghty & Miller, Inc. of North Carolina"	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Geological Engineering	corporate					NCSU	ArchivesSpace		ingest					
J. Hyatt Hammond Associates	corporate				https://lccn.loc.gov/no2017152416	NCSU	ArchivesSpace		lcnaf					
Central North Carolina Mineral Club	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Center for Marine and Coastal Studies	corporate				http://lccn.loc.gov/n79064695	NCSU	ArchivesSpace		lcnaf					
Animal Rights Network	corporate				http://lccn.loc.gov/n86021385	NCSU	ArchivesSpace		lcnaf					
Sloan & Wheatley	corporate					NCSU	ArchivesSpace		local					
Focus on Animals	corporate					NCSU	ArchivesSpace		local					
Seaboard Air Line Railway Company. Office of Chief Engineer	corporate					NCSU	ArchivesSpace		lcnaf					
Dodge & Beckwith (Firm)	corporate				ahd4001463	NCSU	ArchivesSpace		AIA Historical Directory					
"Davis Kane Architects, PA"	corporate					NCSU	ArchivesSpace		ingest					
SpayUSA	corporate					NCSU	ArchivesSpace		local					
"Ballard, McCredie, Elliott, Associates, Architects"	corporate					NCSU	ArchivesSpace		local					
"Gardner & McDaniel, PA"	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Extension Wood Products Section	corporate				http://lccn.loc.gov/n80054967	NCSU	ArchivesSpace		lcnaf					
Hayes-Howell & Associates (Firm)	corporate				ahd4002444	NCSU	ArchivesSpace		AIA Historical Directory					
"Clark, Tribble, Harris & Li Architects"	corporate					NCSU	ArchivesSpace		local					
"Biltmore Estate (Asheville, N.C.)"	corporate				https://lccn.loc.gov/sh91005143	NCSU	ArchivesSpace		lcnaf					
W. Atlee Burpee Company	corporate				https://lccn.loc.gov/n83218356	NCSU	ArchivesSpace		lcnaf					
Gurney Seed & Nursery Co.	corporate				https://lccn.loc.gov/n85205265	NCSU	ArchivesSpace		lcnaf					
National Association of Extension 4-H Agents	corporate				https://lccn.loc.gov/n89618582	NCSU	ArchivesSpace		lcnaf					
National FFA Organization	corporate				https://lccn.loc.gov/n86122388	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Department of Forest Biomaterials	corporate					NCSU	ArchivesSpace		local					
Louisburg Garden Club (N.C.)	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. University Communications	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of Finance and Administration. Business Operations Centers	corporate					NCSU	ArchivesSpace		local					
Stewart Engineering	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Extension Wood Products Section. Specialist Training School	corporate					NCSU	ArchivesSpace		ingest					
"Ellinwood Design Associates, Ltd."	corporate					NCSU	ArchivesSpace		local					
Taynton Architectural Practice	corporate					NCSU	ArchivesSpace		ingest					
George L. Simonds Co.	corporate					NCSU	ArchivesSpace		ingest					
Roberts Group	corporate					NCSU	ArchivesSpace		local					
University of Wisconsin--Madison. Department of Rural Sociology -- Faculty	corporate					NCSU	ArchivesSpace		lcnaf					
North Carolina State University. E.S. King Village Council	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of Campus Engineer	corporate					NCSU	ArchivesSpace		ingest					
Dellinger/Lee Associates	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State College. Office of College Engineer	corporate					NCSU	ArchivesSpace		local					
"Professional Engineering Associates, P.A."	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State College. McKimmon Village	corporate					NCSU	ArchivesSpace		local					
Spencer Architecture	corporate					NCSU	ArchivesSpace		ingest					
Roof Engineering Inc.	corporate					NCSU	ArchivesSpace		ingest					
"Progressive Design Collaborative, Ltd."	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. E.S. King Village	corporate					NCSU	ArchivesSpace		local					
HNTB Corporation North Carolina	corporate					NCSU	ArchivesSpace		local					
"Edmondson Engineers, P.A."	corporate					NCSU	ArchivesSpace		ingest					
G. Cleveland Pate Architects	corporate					NCSU	ArchivesSpace		local					
"Sud Associates, P.A."	corporate					NCSU	ArchivesSpace		ingest					
Winstead Architecture	corporate					NCSU	ArchivesSpace		local					
Design Development	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Division of Resource Management and Information Systems	corporate					NCSU	ArchivesSpace		local					
"Ellis P. Thomas & Associates, Inc."	corporate					NCSU	ArchivesSpace		ingest					
"Moore & Burton Architects, P.A."	corporate					NCSU	ArchivesSpace		ingest					
"Polytech, Inc."	corporate				https://lccn.loc.gov/no96031620	NCSU	ArchivesSpace		lcnaf					
"Atlas Engineering, Inc."	corporate					NCSU	ArchivesSpace		local					
Carolina Power and Light Company	corporate				https://lccn.loc.gov/n84119790	NCSU	ArchivesSpace		lcnaf					
Campus Planning and Construction	corporate					NCSU	ArchivesSpace		ingest					
"Stogner & Kanoy, PA"	corporate					NCSU	ArchivesSpace		local					
North Carolina State University -- Appropriations and expenditures	corporate					NCSU	ArchivesSpace		lcnaf					
"Dewberry & Davis, Inc."	corporate					NCSU	ArchivesSpace		ingest					
"RMA Engineers, Inc."	corporate					NCSU	ArchivesSpace		ingest					
"Strategic Design, P.A."	corporate					NCSU	ArchivesSpace		ingest					
Viking Fire Protection	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Department of Music	corporate					NCSU	ArchivesSpace		local					
Hamlin Roofing Co.	corporate					NCSU	ArchivesSpace		ingest					
Matrix Health & Safety Consultants	corporate					NCSU	ArchivesSpace		ingest					
Sutton-Kennerly & Associates	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State College. Department of English	corporate					NCSU	ArchivesSpace		local					
Adcock Engineering PE	corporate					NCSU	ArchivesSpace		local					
DSI Fire Protection Systems	corporate					NCSU	ArchivesSpace		ingest					
Bethlehem Steel Company	corporate				https://lccn.loc.gov/n87845316	NCSU	ArchivesSpace		lcnaf					
Sigma Engineered Solutions	corporate					NCSU	ArchivesSpace		ingest					
FWA Group (Firm)	corporate				https://lccn.loc.gov/no99039824	NCSU	ArchivesSpace		lcnaf					
American Board of Veterinary Specialties	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of Finance and Business	corporate					NCSU	ArchivesSpace		local					
Morris Animal Foundation	corporate				https://lccn.loc.gov/n85134627	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Disability Services Office	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Physical Plant Engineering	corporate					NCSU	ArchivesSpace		local					
Capital City Sprinkler Co.	corporate					NCSU	ArchivesSpace		local					
Wooten Group	corporate					NCSU	ArchivesSpace		local					
Peden Steel Co.	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of Alumni Relations	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Physical Plant Division	corporate					NCSU	ArchivesSpace		local					
N.L. Pettit & Associates	corporate					NCSU	ArchivesSpace		local					
"Atlantec Engineers, PA"	corporate					NCSU	ArchivesSpace		local					
Leonard H. Owen & Associates	corporate					NCSU	ArchivesSpace		local					
JPDA (Jordan Parnass Digital Architecture)	corporate					NCSU	ArchivesSpace		local					
Leslie N. Boney (Firm)	corporate				ahd4000584	NCSU	ArchivesSpace		AIA Historical Directory					
North Carolina State University. Department of Occupational Education	corporate					NCSU	ArchivesSpace		local					
I.E.S. Engineers	corporate				https://lccn.loc.gov/n88050311	NCSU	ArchivesSpace		lcnaf					
Gomes & Staub PLLC	corporate					NCSU	ArchivesSpace		local					
Municipal Engineering Services Co.	corporate					NCSU	ArchivesSpace		local					
Dennis K. Hoyle & Associates	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. College of Humanities and Social Sciences	corporate				http://lccn.loc.gov/no2004002579	NCSU	ArchivesSpace		lcnaf					
Cooperating Raleigh Colleges	corporate					NCSU	ArchivesSpace		local					
"Corley Redfoot Zack, Inc."	corporate					NCSU	ArchivesSpace		local					
McKnight-Walter Associates	corporate					NCSU	ArchivesSpace		local					
"P.H. Brown & Associates, Inc."	corporate					NCSU	ArchivesSpace		local					
"Affiliated Engineers, Inc."	corporate				https://lccn.loc.gov/n83226068	NCSU	ArchivesSpace		lcnaf					
DSA Group Inc.	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. School of Design -- Faculty -- History	corporate					NCSU	ArchivesSpace		lcnaf					
Milton Small Associates	corporate					NCSU	ArchivesSpace		local					
Richard C. Bell Associates	corporate					NCSU	ArchivesSpace		local					
Jenkins Hubbard Architects	corporate					NCSU	ArchivesSpace		local					
Alligood and Associates	corporate					NCSU	ArchivesSpace		local					
Facilities Planning and Design	corporate					NCSU	ArchivesSpace		local					
Rairden Savage Architect	corporate					NCSU	ArchivesSpace		local					
Fieldcrest Mills Inc.	corporate				http://lccn.loc.gov/no96029504	NCSU	ArchivesSpace		lcnaf					
RAS Engineers	corporate					NCSU	ArchivesSpace		local					
"Brown & Jones Architects, Inc."	corporate					NCSU	ArchivesSpace		local					
Piedmont Olsen Hensley	corporate					NCSU	ArchivesSpace		local					
"United Engineering Group, Inc."	corporate					NCSU	ArchivesSpace		local					
Fieldcrest Cannon Inc.	corporate				http://lccn.loc.gov/no96029503	NCSU	ArchivesSpace		lcnaf					
BE & K	corporate				https://lccn.loc.gov/no00004287	NCSU	ArchivesSpace		lcnaf					
Lattimer Design	corporate					NCSU	ArchivesSpace		local					
Hayes-Howell Architects	corporate					NCSU	ArchivesSpace		local					
MTMA Design Group	corporate				https://lccn.loc.gov/n89639064	NCSU	ArchivesSpace		lcnaf					
Ronel	corporate					NCSU	ArchivesSpace		local					
Marshall Field & Company	corporate				http://lccn.loc.gov/n85057814	NCSU	ArchivesSpace		lcnaf					
Network & Communication Services	corporate					NCSU	ArchivesSpace		local					
Nihon Terebi	corporate				https://lccn.loc.gov/n81132104	NCSU	ArchivesSpace		lcnaf					
Business of Entertainment Inc.	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Faculty Well Being Administrative Advisory Committee	corporate					NCSU	ArchivesSpace		ingest					
corpname	corporate					NCSU	ArchivesSpace		corpname_source					
"High Point Historical Society (High Point, N.C.)"	corporate				https://lccn.loc.gov/no2011039667	NCSU	ArchivesSpace		lcnaf					
American Cyanamid Company	corporate				https://lccn.loc.gov/n50060107	NCSU	ArchivesSpace		lcnaf					
"Saieed Construction Systems, Inc."	corporate					NCSU	ArchivesSpace		local					
"Charles E. Brauer Company, Inc."	corporate					NCSU	ArchivesSpace		local					
Breckenridge (Company)	corporate					NCSU	ArchivesSpace		local					
Grinnell Company	corporate					NCSU	ArchivesSpace		local					
Professional Engineers of North Carolina	corporate					NCSU	ArchivesSpace		local					
United States. Armed Forces	corporate				https://lccn.loc.gov/n87935674	NCSU	ArchivesSpace		lcnaf					
United States -- Armed Forces -- Parachute troops	corporate				https://lccn.loc.gov/sh85139871	NCSU	ArchivesSpace		lcnaf					
United States. Federal Emergency Relief Administration	corporate				https://lccn.loc.gov/n50067288	NCSU	ArchivesSpace		lcnaf					
National Council of the Young Men’s Christian Associations of the United States of America	corporate				https://lccn.loc.gov/n83009464	NCSU	ArchivesSpace		lcnaf					
United States. National Youth Administration of North Carolina	corporate				https://lccn.loc.gov/no2010187486	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Encore Program for Lifelong Enrichment	corporate					NCSU	ArchivesSpace		ingest					
Franklinton Schools (N.C.)	corporate					NCSU	ArchivesSpace		local					
Fairfield Engineering Co.	corporate				http://lccn.loc.gov/no2006096827	NCSU	ArchivesSpace		lcnaf					
GE Hitachi Nuclear Energy	corporate					NCSU	ArchivesSpace		local					
"Arlington National Cemetery (Arlington, Va.)"	corporate				https://lccn.loc.gov/n88155885	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Oxford Study Abroad Program	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Division of Student Affairs. University Scholars Program	corporate					NCSU	ArchivesSpace		local					
University of North Carolina at Asheville	corporate				https://lccn.loc.gov/n84201464	NCSU	ArchivesSpace		lcnaf					
University of Oxford	corporate				https://lccn.loc.gov/n79095521	NCSU	ArchivesSpace		lcnaf					
Allis-Chalmers Manufacturing Company	corporate				http://lccn.loc.gov/n80115459	NCSU	ArchivesSpace		lcnaf					
Marvel Comics Group	corporate				https://lccn.loc.gov/n80005697	NCSU	ArchivesSpace		lcnaf					
"DC Comics, Inc."	corporate				https://lccn.loc.gov/n78008251	NCSU	ArchivesSpace		lcnaf					
Courtaulds (Firm)	corporate				https://lccn.loc.gov/n50074839	NCSU	ArchivesSpace		lcnaf					
Calco Chemical Company	corporate				https://lccn.loc.gov/n96029209	NCSU	ArchivesSpace		lcnaf					
Dark Horse Comics	corporate				https://lccn.loc.gov/no98081546	NCSU	ArchivesSpace		lcnaf					
Westinghouse Electric & Manufacturing Company	corporate				http://lccn.loc.gov/n82081623	NCSU	ArchivesSpace		lcnaf					
Image Comics	corporate				https://lccn.loc.gov/no2005049817	NCSU	ArchivesSpace		lcnaf					
Valiant Comics	corporate				https://lccn.loc.gov/n94119250	NCSU	ArchivesSpace		lcnaf					
Harris Publications	corporate				https://lccn.loc.gov/no92021335	NCSU	ArchivesSpace		lcnaf					
Kalman Steel Corp.	corporate				http://lccn.loc.gov/n88222347	NCSU	ArchivesSpace		lcnaf					
Malibu Comics	corporate				https://lccn.loc.gov/no2008111806	NCSU	ArchivesSpace		lcnaf					
Tekno Comix (Firm)	corporate				https://lccn.loc.gov/no2018174077	NCSU	ArchivesSpace		lcnaf					
West Virginia Pulp and Paper Company	corporate				https://lccn.loc.gov/n80144956	NCSU	ArchivesSpace		lcnaf					
North Carolina Japan Center	corporate				http://lccn.loc.gov/n87885399	NCSU	ArchivesSpace		lcnaf					
Babcock & Wilcox Company	corporate				http://lccn.loc.gov/n79109687	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Phi Beta Kappa Committee	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Industry Expansion Solutions	corporate					NCSU	ArchivesSpace		ingest					
Detroit Stoker Company	corporate					NCSU	ArchivesSpace		local					
Robert & Company Assoc.	corporate				https://lccn.loc.gov/n80007023	NCSU	ArchivesSpace		lcnaf					
Farm Animal Rights Movement	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Department of Agricultural and Human Sciences	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State Beekeepers Association	corporate				https://lccn.loc.gov/n85145889	NCSU	ArchivesSpace		lcnaf					
Westbrook Elevator Manufacturer Company	corporate					NCSU	ArchivesSpace		local					
Phi Zeta. Psi Chapter	corporate					NCSU	ArchivesSpace		local					
Society & Animals Forum	corporate				https://lccn.loc.gov/no2007121206	NCSU	ArchivesSpace		lcnaf					
Thread Mills Company	corporate					NCSU	ArchivesSpace		local					
SCRC Obsolete	corporate					NCSU	ArchivesSpace		local					
James B. Hunt Jr. Library	corporate					NCSU	ArchivesSpace		local					
Easterby & Mumaw	corporate					NCSU	ArchivesSpace		local					
Alpha Epsilon Rho. North Carolina State University Chapter	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Information Technology and Engineering Computer Services	corporate					NCSU	ArchivesSpace		ingest					
StoryCorps (Project)	corporate				https://lccn.loc.gov/n2005077656	NCSU	ArchivesSpace		lcnaf					
Western Percipitation Corporation	corporate					NCSU	ArchivesSpace		local					
Friends of Joe Cox	corporate					NCSU	ArchivesSpace		ingest					
North Carolina Agricultural Foundation	corporate				https://lccn.loc.gov/n83221825	NCSU	ArchivesSpace		lcnaf					
Leaksville Lumber Co.	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Power Semiconductor Research Center	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Electronic Power Research Institute	corporate					NCSU	ArchivesSpace		ingest					
Maryland Metal Co.	corporate					NCSU	ArchivesSpace		local					
"North Carolina State Capitol (Raleigh, N.C.)"	corporate				https://lccn.loc.gov/sh2013002858	NCSU	ArchivesSpace		lcnaf					
General Sprinkler Corporation	corporate					NCSU	ArchivesSpace		local					
Alpha Collier Inc.	corporate					NCSU	ArchivesSpace		local					
Christie's on the Premises	corporate					NCSU	ArchivesSpace		local					
North Carolina State University	corporate				http://lccn.loc.gov/n81014041	NCSU	ArchivesSpace		lcnaf					
Pillowtex Corporation	corporate					NCSU	ArchivesSpace		local					
City Memorial Hospital	corporate					NCSU	ArchivesSpace		local					
"Bethabara Moravian Church  (Winston-Salem, N.C.)"	corporate				https://lccn.loc.gov/no2014135791	NCSU	ArchivesSpace		lcnaf					
"Harris and Burns, Architects"	corporate					NCSU	ArchivesSpace		local					
North Carolina College of Agriculture and Mechanic Arts -- Buildings	corporate					NCSU	ArchivesSpace		lcnaf					
"J. Aubrey Kirby Associates, Inc."	corporate					NCSU	ArchivesSpace		ingest					
Jae Architecture	corporate					NCSU	ArchivesSpace		ingest					
James C. Fulbright & Associates	corporate					NCSU	ArchivesSpace		ingest					
EDAW Inc.	corporate				https://lccn.loc.gov/n80109326	NCSU	ArchivesSpace		lcnaf					
AECOM (Firm)	corporate				https://lccn.loc.gov/nb2010005184	NCSU	ArchivesSpace		lcnaf					
North Carolina State College -- Buildings	corporate					NCSU	ArchivesSpace		local					
Southern Region Sustainable Agriculture Research and Education Program	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. Office of Public Science	corporate					NCSU	ArchivesSpace		local					
North Carolina State College -- Aerial views	corporate					NCSU	ArchivesSpace		local					
James-Laupheimer	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University -- History -- 20th century	corporate					NCSU	ArchivesSpace		lcnaf					
Jenkins & Foley	corporate					NCSU	ArchivesSpace		local					
John W. Jenkins & Associates	corporate					NCSU	ArchivesSpace		local					
Jerry Miller Associates	corporate					NCSU	ArchivesSpace		ingest					
"Boney Architects, Inc."	corporate					NCSU	ArchivesSpace		local					
Johnston County Geographic Information Services (N.C.)	corporate					NCSU	ArchivesSpace		local					
"Joseph T. Johnston and Associates, Inc."	corporate					NCSU	ArchivesSpace		ingest					
"Keith E. Simpson Associates, Inc."	corporate					NCSU	ArchivesSpace		local					
"Parsons, Brinckerhoff, Quade & Douglas"	corporate				https://lccn.loc.gov/n50074927	NCSU	ArchivesSpace		lcnaf					
"North Carolina College of Agriculture and Mechanic Arts -- Fire, 1901"	corporate					NCSU	ArchivesSpace		local					
Pease Engineering & Architecture	corporate					NCSU	ArchivesSpace		local					
Philip Szostak Associates	corporate					NCSU	ArchivesSpace		ingest					
"PNP Design Group, PLLC"	corporate					NCSU	ArchivesSpace		ingest					
North Carolina College of Agriculture and Mechanic Arts -- Students	corporate					NCSU	ArchivesSpace		lcnaf					
"Presnell Associates, Inc."	corporate					NCSU	ArchivesSpace		local					
Ramsay GMK	corporate					NCSU	ArchivesSpace		ingest					
RGG Architects	corporate					NCSU	ArchivesSpace		local					
"R.J. Reynolds High School (Winston-Salem, N.C.)"	corporate				https://lccn.loc.gov/no2014011211	NCSU	ArchivesSpace		lcnaf					
Pi Kappa Alpha. Alpha Epsilon Chapter (North Carolina State University)	corporate					NCSU	ArchivesSpace		local					
"Robert M. Chiles, P.E., Engineers & Consultants"	corporate					NCSU	ArchivesSpace		ingest					
"Rogers & LaPan, PA"	corporate					NCSU	ArchivesSpace		ingest					
Roughton Nickelson DeLuca	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University -- Baseball -- History	corporate					NCSU	ArchivesSpace		lcnaf					
"Reynolds, Smith and Hills of North Carolina"	corporate					NCSU	ArchivesSpace		local					
"Scantec Architecture, Inc."	corporate					NCSU	ArchivesSpace		ingest					
"Surveying Associates, Inc."	corporate					NCSU	ArchivesSpace		ingest					
Lake Construction Company	corporate					NCSU	ArchivesSpace		ingest					
United States. Department of the Treasury	corporate				https://lccn.loc.gov/n78096864	NCSU	ArchivesSpace		lcnaf					
"Triangle Residential Designs, Inc."	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Department of Engineering Mechanics	corporate					NCSU	ArchivesSpace		local					
"North Carolina State University -- Societies, etc. -- History"	corporate					NCSU	ArchivesSpace		local					
United States. Government Printing Office	corporate				https://lccn.loc.gov/n79143109	NCSU	ArchivesSpace		lcnaf					
VITETTA	corporate					NCSU	ArchivesSpace		local					
Kennedy & Hancock	corporate					NCSU	ArchivesSpace		ingest					
Kenneth Hobgood Architects	corporate					NCSU	ArchivesSpace		ingest					
Keyfer & Associates	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University -- Collectibles	corporate					NCSU	ArchivesSpace		lcnaf					
Kling Architecture Engineering Interiors Planning	corporate					NCSU	ArchivesSpace		ingest					
L. Robert Kimball (Firm)	corporate				https://lccn.loc.gov/n79045576	NCSU	ArchivesSpace		lcnaf					
MacConnell & Associates	corporate					NCSU	ArchivesSpace		ingest					
Mallonee Surveying	corporate					NCSU	ArchivesSpace		ingest					
"McClure & McClure Architects and Planners, PA"	corporate					NCSU	ArchivesSpace		ingest					
"McKimmon, Edwards, Hitch Architects"	corporate					NCSU	ArchivesSpace		ingest					
North Carolina State University. Associate Vice Chancellor for Facilities	corporate					NCSU	ArchivesSpace		local					
Metcalf & Eddy	corporate				https://lccn.loc.gov/n79096735	NCSU	ArchivesSpace		lcnaf					
"Middleton, Wilkerson, McMillan, Harris & Pyne"	corporate					NCSU	ArchivesSpace		ingest					
"Mirlein, Inc., Developer"	corporate					NCSU	ArchivesSpace		ingest					
"Moore, Gardner, and Associates"	corporate				https://lccn.loc.gov/n83220875	NCSU	ArchivesSpace		lcnaf					
National Educational Association (U.S.)	corporate				https://lccn.loc.gov/no89000454	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. School of Design	corporate				http://lccn.loc.gov/n80118334	NCSU	ArchivesSpace		lcnaf					
NBBJ (Firm)	corporate				https://lccn.loc.gov/no97055903	NCSU	ArchivesSpace		lcnaf					
"Newman, Calloway, Johnson, Winfree"	corporate					NCSU	ArchivesSpace		ingest					
Oakley Associates	corporate					NCSU	ArchivesSpace		ingest					
"Olsen Associates, Inc."	corporate				https://lccn.loc.gov/no2008065105	NCSU	ArchivesSpace		lcnaf					
"Open Source Solutions, Inc."	corporate				https://lccn.loc.gov/no96044930	NCSU	ArchivesSpace		lcnaf					
American Institute of Architects	corporate				http://lccn.loc.gov/n79053945	NCSU	ArchivesSpace		lcnaf					
Owen F. Smith & Associates	corporate					NCSU	ArchivesSpace		local					
Owen Smith & Willis	corporate					NCSU	ArchivesSpace		ingest					
Toups and Loiederman	corporate					NCSU	ArchivesSpace		ingest					
Triangle Surveyors	corporate					NCSU	ArchivesSpace		ingest					
Historic American Buildings Survey	corporate				http://lccn.loc.gov/n80126103	NCSU	ArchivesSpace		lcnaf					
Withers & Ravenel	corporate					NCSU	ArchivesSpace		local					
North Carolina State University. School of Design -- History	corporate					NCSU	ArchivesSpace		lcnaf					
United States. National Park Service. National Architectural and Engineering Records Division	corporate				http://lccn.loc.gov/n83128891	NCSU	ArchivesSpace		lcnaf					
Southern Engineering Company	corporate				https://lccn.loc.gov/n92088494	NCSU	ArchivesSpace		lcnaf					
North Carolina Extension and Community Association	corporate					NCSU	ArchivesSpace		local					
Associated Country Women of the World	corporate				http://lccn.loc.gov/n81097537	NCSU	ArchivesSpace		lcnaf					
National Science Foundation (U.S.)	corporate				http://lccn.loc.gov/n79005681	NCSU	ArchivesSpace		lcnaf					
Country Women's Council	corporate					NCSU	ArchivesSpace		local					
National Association of Extension Home Economists (U.S.)	corporate				http://lccn.loc.gov/n85388497	NCSU	ArchivesSpace		lcnaf					
North Carolina State University. Campus Planning Office	corporate					NCSU	ArchivesSpace		ingest					
National Extension Homemakers Council (U.S.)	corporate				http://lccn.loc.gov/n85276661	NCSU	ArchivesSpace		lcnaf					
Monarch Elevator &amp; Machine	corporate					NCSU	ArchivesSpace		ingest					
Detroit Steel Products Company	corporate				https://lccn.loc.gov/no99080842	NCSU	ArchivesSpace		lcnaf					
National Home Demonstration Agents Association (U.S.)	corporate				http://lccn.loc.gov/n85276566	NCSU	ArchivesSpace		lcnaf					
National Home Demonstration Council (U.S.)	corporate				http://lccn.loc.gov/n90648702	NCSU	ArchivesSpace		lcnaf					
North Carolina Council of Women's Organizations	corporate				http://lccn.loc.gov/no95052389	NCSU	ArchivesSpace		lcnaf					
North Carolina Extension Homemakers Association	corporate				http://lccn.loc.gov/n84201424	NCSU	ArchivesSpace		lcnaf					
Piedmont Olsen Inc.	corporate					NCSU	ArchivesSpace		ingest					
