name	name_type	variants	role_or_relator	lcnaf_string	lcnaf_uri	institution	source_system	collection
"Bell, Clara Bond"	personal					ECU	ArchivesSpace	PersonCreator
"Bell, Holley Mack, II"	personal					ECU	ArchivesSpace	PersonCreator
"Bell, Madison Smartt"	personal					ECU	ArchivesSpace	PersonCreator
"Bellamy, Ruth"	personal					ECU	ArchivesSpace	PersonCreator
"Bellin, Jacques Nicolas"	personal					ECU	ArchivesSpace	PersonCreator
"Bellis, Vincent J., 1938-"	personal					ECU	ArchivesSpace	PersonCreator
"Bellitteri, Mariano A. (Mariano Albert)"	personal					ECU	ArchivesSpace	PersonCreator
"Benedict, Andrew B."	personal					ECU	ArchivesSpace	PersonCreator
"Bennett, James I."	personal					ECU	ArchivesSpace	PersonCreator
"Bennett, John E."	personal					ECU	ArchivesSpace	PersonCreator
"Bennett, L. L."	personal					ECU	ArchivesSpace	PersonCreator
"Bernard, Harry Virden"	personal					ECU	ArchivesSpace	PersonCreator
"Berry, Wendell (Wendell Erdman)"	personal					ECU	ArchivesSpace	PersonCreator
"Best, Andrew A."	personal					ECU	ArchivesSpace	PersonCreator
"Bethea, Neil Graham, 1872-1957"	personal					ECU	ArchivesSpace	PersonCreator
"Bethune, Angus"	personal					ECU	ArchivesSpace	PersonCreator
"Bienvenu, Roland G., Sr."	personal					ECU	ArchivesSpace	PersonCreator
"Biggs, Asa, 1811-1878"	personal					ECU	ArchivesSpace	PersonCreator
"Biggs, Lucy E."	personal					ECU	ArchivesSpace	PersonCreator
"Biller, Albert and Hilda"	personal					ECU	ArchivesSpace	PersonCreator
"Binkley, Howell"	personal					ECU	ArchivesSpace	PersonCreator
"Bisel, Frank"	personal					ECU	ArchivesSpace	PersonCreator
"Bissette, Charles Brantley"	personal					ECU	ArchivesSpace	PersonCreator
"Black, R. Jean"	personal					ECU	ArchivesSpace	PersonCreator
"Black, Robert G."	personal					ECU	ArchivesSpace	PersonCreator
"Blades, Lemuel Showell"	personal					ECU	ArchivesSpace	PersonCreator
"Blakely, LaMotte M. (LaMotte Marcus)"	personal					ECU	ArchivesSpace	PersonCreator
"Blancheri, Doug"	personal					ECU	ArchivesSpace	PersonCreator
"Bledsoe, Samuel B."	personal					ECU	ArchivesSpace	PersonCreator
"Blee, Ben"	personal					ECU	ArchivesSpace	PersonCreator
"Bliss, Doctor Willard, 1825-1889"	personal					ECU	ArchivesSpace	PersonCreator
"Blount, Henry N."	personal					ECU	ArchivesSpace	PersonCreator
"Blount, Thomas E."	personal					ECU	ArchivesSpace	PersonCreator
"Blount, Wentworth M."	personal					ECU	ArchivesSpace	PersonCreator
"Blow, William J."	personal					ECU	ArchivesSpace	PersonCreator
"Blue, John Calvin"	personal					ECU	ArchivesSpace	PersonCreator
"Boccaccio, Mary"	personal					ECU	ArchivesSpace	PersonCreator
"Bogey, Marcus Cicero"	personal					ECU	ArchivesSpace	PersonCreator
"Boice, Edmund Simpson"	personal					ECU	ArchivesSpace	PersonCreator
"Bond, F. L."	personal					ECU	ArchivesSpace	PersonCreator
"Bone, Everett"	personal					ECU	ArchivesSpace	PersonCreator
"Booth, Marguerite"	personal					ECU	ArchivesSpace	PersonCreator
"Bost, Ethel W."	personal					ECU	ArchivesSpace	PersonCreator
"Bostick, Robert"	personal					ECU	ArchivesSpace	PersonCreator
"Bowen, Emanuel, d. 1767"	personal					ECU	ArchivesSpace	PersonCreator
"Bowker, Francis E."	personal					ECU	ArchivesSpace	PersonCreator
"Bowman, Frances Willard"	personal					ECU	ArchivesSpace	PersonCreator
"Bowman, George T., Brigadier General"	personal					ECU	ArchivesSpace	PersonCreator
"Boykin, J. Robert"	personal					ECU	ArchivesSpace	PersonCreator
"Brackett, William Davis, Jr."	personal					ECU	ArchivesSpace	PersonCreator
"Bragg, Kenneth Wilbur"	personal					ECU	ArchivesSpace	PersonCreator
"Brake, Margaret Frances"	personal					ECU	ArchivesSpace	PersonCreator
"Brantley, Cornelius Henry"	personal					ECU	ArchivesSpace	PersonCreator
"Brantley, Hassell"	personal					ECU	ArchivesSpace	PersonCreator
"Brasfield, Thomas W."	personal					ECU	ArchivesSpace	PersonCreator
"Brentlinger, John"	personal					ECU	ArchivesSpace	PersonCreator
"Brickell, William W."	personal					ECU	ArchivesSpace	PersonCreator
"Bridgers, Henry Clark, 1913-1981"	personal					ECU	ArchivesSpace	PersonCreator
"Bridgers, John Luther, 1821-1884"	personal					ECU	ArchivesSpace	PersonCreator
"Briggs, Frank Spencer, b. 1870"	personal					ECU	ArchivesSpace	PersonCreator
"Brinkley, Bill"	personal					ECU	ArchivesSpace	PersonCreator
"Broaddus, T. Nash"	personal					ECU	ArchivesSpace	PersonCreator
"Broadfoot, Mary Bason"	personal					ECU	ArchivesSpace	PersonCreator
"Brodie, Edward H."	personal					ECU	ArchivesSpace	PersonCreator
"Brooks, Cleanth"	personal					ECU	ArchivesSpace	PersonCreator
"Brooks, Ernelle, 1916-1976"	personal					ECU	ArchivesSpace	PersonCreator
"Brooks, Francis"	personal					ECU	ArchivesSpace	PersonCreator
"Brooks, John W."	personal					ECU	ArchivesSpace	PersonCreator
"Brower, Daniel C."	personal					ECU	ArchivesSpace	PersonCreator
"Brown, Amy Sue"	personal					ECU	ArchivesSpace	PersonCreator
"Brown, Daniel F."	personal					ECU	ArchivesSpace	PersonCreator
"Brown, Earl Davis"	personal					ECU	ArchivesSpace	PersonCreator
"Brown, Greta"	personal					ECU	ArchivesSpace	PersonCreator
"Brown, Harold V."	personal					ECU	ArchivesSpace	PersonCreator
"Brown, James Harvey"	personal					ECU	ArchivesSpace	PersonCreator
"Brown, Percy"	personal					ECU	ArchivesSpace	PersonCreator
"Browne, Sallie Lewis"	personal					ECU	ArchivesSpace	PersonCreator
"Bruccoli, Matthew (Matthew Joseph)"	personal					ECU	ArchivesSpace	PersonCreator
"Bryan, George"	personal					ECU	ArchivesSpace	PersonCreator
"Bryan, John Heritage, 1798-1870"	personal					ECU	ArchivesSpace	PersonCreator
"Bryan, William D., Jr."	personal					ECU	ArchivesSpace	PersonCreator
"Buchanan, William Carl"	personal					ECU	ArchivesSpace	PersonCreator
"Buck, Mary B."	personal					ECU	ArchivesSpace	PersonCreator
"Budick, Daniel P."	personal					ECU	ArchivesSpace	PersonCreator
"Buell, Thomas C."	personal					ECU	ArchivesSpace	PersonCreator
"Buffington, Robert"	personal					ECU	ArchivesSpace	PersonCreator
"Buffkin, Sue"	personal					ECU	ArchivesSpace	PersonCreator
"Bulloch, William D."	personal					ECU	ArchivesSpace	PersonCreator
"Bullock, Lewis S."	personal					ECU	ArchivesSpace	PersonCreator
"Bumas, Jonathan (Jonathan Mark)"	personal					ECU	ArchivesSpace	PersonCreator
"Bunn, Christina Kennedy"	personal					ECU	ArchivesSpace	PersonCreator
